Type,Land Area,Address,Price,Currency,Description,Datetime,Links,Service Lines
For Residential Development,2700 sq.m.,Lorri › Spitak,"$60,000",USD,"The plot of land is located next to the Spitak park, there is a school, a sports school nearby, and the Spitak YMCA. There is water, gas, electricity, three-phase electricity, sewage.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18379810,
For General Purpose,600 sq.m.,Lorri › Vanadzor,"3,200,000 ֏",AMD,"The land area is 600 square meters, it is located on the road going down to Meghrut, near the gas station, water and electricity are close to the area, the road to the land is paved.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18585624,
For Residential Development,600 sq.m.,Lorri › Vanadzor,"$25,000",USD,"Находится рядом у городского Стадиона, по соседству Санатории Армения",Dec-15-2022_22-13,https://list.am/en/item/18667288,"Electricity, water supply, natural gas, sewerage"
For Public Buildings,1268 sq.m.,Lorri › Arjut,"1,500,000 ֏",AMD,"The location of the land is very suitable for any construction. There is a school, kindergarten, guest houses nearby.The price is negotiable.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18667209,"Electricity, water supply, natural gas, sewerage"
For General Purpose,520 sq.m.,Lorri › Vanadzor,"$4,200",USD,"The land is privatized, all documents are available.The land can be used for agriculture, animal husbandry,so go to residence.There are many fruit trees in the area: Apple, pear, cherry, plum, apricot, etc.Cabin: Width 2m20cm, length 5m20cm.Iron water container: Length 2m 80cm, width 2m, height 2m 20cm.Iron water container: 12 tons.All necessary communications are nearby.The territory is fenced.There is also a plot of land with black soil.The price is negotiable.I will also exchange for a car and cattle. HOXQTARACQ VANADZOR QAXAQI MEJ CHI NOR KHACHAKAP GYUXI DIMACANA!Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18487754,
For Public Buildings,20 sq.m.,Lorri › Spitak,"$5,000",USD,"Commercial space with the right to cover, 20 square meters, suitable for a flower salon. Pharmacy. To build a phone sales hall... Negotiable... Urgent...Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18665522,
For General Purpose,3600 sq.m.,Lorri › Dsegh,"$15,000",USD,Farming village in Dsegh. The land is flat in the area called (Ghrer) 3600 square meters.Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18480488,
For Residential Development,1500 sq.m.,"1-ին փողոց, Դսեղ","7,000,000 ֏",AMD,"A plot of land in the center of Dseghi is for sale. The plot is intended for residential buildings, there is a semi-detached house. Electricity, gas, water are available. There is an orchard.The price is final.All documents are available.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18437811,
For Residential Development,515 sq.m.,Lorri › Vanadzor,"1,000,000 ֏",AMD,3 km from Vanadzor. In the village of Arjut. The house is located in the central part of the village. The normal way works.Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18400090,
For General Purpose,900 sq.m.,Lorri › Odzun,"$6,500",USD,"Land for sale in the central part of Odzun village. The land can be used for building real estate.The garden has different types of fruit trees, a hazelnut tree, an area for growing vegetables and other trees.Next to the land are:1 Odzuni church2 Odzun Central Park3 A variety of grocery and other stores4 Stops for vehicles going to Alaverdi and other directions5 Hotel6 A bakery that works 24 hours a dayTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18255603,
For Residential Development,2400 sq.m.,Lorri › Gyulagarak,"7,500,000 ֏",AMD,"A 2400 sq/m plot of land is for sale in the village of Gyulagarak, on the Arboretum road. The land can be used for the purpose of building a residential house, guest houses, as well as for agriculture. It has access to the exit from both sides. It has fruit trees. The land offers a view of the beautiful nature and the river.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18642162,"Electricity, water supply, natural gas, sewerage"
For Residential Development,1800 sq.m.,Lorri › Gugark,"$10,000",USD,Land for sale in Gugark (Meghrut) region of Vanadzor.Exchange is possible.Price negotiable.Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18636591,"Electricity, water supply, natural gas, sewerage"
Agricultural,3000 sq.m.,Lorri › Shnogh,"3,500,000 ֏",AMD,"A plot of land for sale, at the beginning of Shnogh village, Lori region, adjacent to the M6 interstate highway.You can call for details.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18634137,Water supply
For Residential Development,700 sq.m.,Lorri › Vanadzor,"3,000,000 ֏",AMD,"A house is for sale, which is located at Shahumyan, Vanadzor community, 17th street, plot 27. Cadastral code: 0608400100002. The plot is located in the area next to the former ""Kirovakan"" restaurant. There are inhabited houses nearby.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18625530,
Agricultural,3000 sq.m.,Lorri › Gyulagarak,"10,000,000 ֏",AMD,"3,000 square meters of land for sale. It is located right next to the Arboretum.It is also visible from the main road and is located next to the river.The mentioned price is valid only until the end of the year and it is also possible to exchange it with a car.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18622971,
For Residential Development,600 sq.m.,"Նոյեմբերյան փողոց 5, Ստեփանավան","10,000,000 ֏",AMD,"Վաճառում եմ տնամերձ հողատարածք ք. Ստեփանավանում՝ 600քմ. ։ Գտնվում է բնակելի թաղամասում՝ դեպի անտառ տանող ծառուղու (аллея) անմիջական հարևանությամբ։Հողատարածքում բոլոր կոմունալ ծառայությունների բաժանորդագրություններն արված են (էլեկտրականություն, գազ, ջուր, կոյուղի) ։ Հողատարածքում կա 3 սենյականոց ինքնաշեն տնակ՝ առանձին խոհանոցով, բաղնիքով և զուգարանով։Հաշվի առնելով շրջապատող գեղատեսիլ բնությունը տարածքը շատ հարմար է և՛ որպես ամառանոց և՛ որպես հյուրատուն օգտագործելու համար։Продам земельный участок в Степанаване, 600 кв. М. Находится в спальном районе, в непосредственной близости от аллеи, ведущей к сосновому бору.На земельном участке проведены все коммуникации (электричество, газ, вода, канализация) На участке находится 3-х комнатный дачный домик с мансардой с видом на сосновый бор, с пристроенной кухней, ванной и санузлом.Учитывая окружающую живописную природу, земельный участок прекрасно подходит для использования в качестве дачи или гостевого дома.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18556000,"Electricity, water supply, natural gas, sewerage"
For Public Buildings,6000 sq.m.,"Surb Nshan street, Stepanavan","$80,000",USD,Land for sale in Stepanavan city. 6 hectares in area. Suitable for various activities.Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18622385,Electricity
Agricultural,5500 sq.m.,Lorri › Vanadzor,"35,000,000 ֏",AMD,"The land is located 6 km from Vanadzor, on the right side of the Vanadzor-Dilijan highway, next to the ""Tezh Ler"" restaurant. The annual ""Lorva Winter"" sports fair is also organized in this area.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18617691,
For General Purpose,4000 sq.m.,Lorri › Debet,"$40,000",USD,"The plot is located in Debed village, there is a half-demolished building, it has an orchard and arable land, it is suitable for building guest houses, the price is final, the area is fenced, it is close to the river, drinking water and the forestTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18457065,
For Residential Development,1280 sq.m.,Lorri › Haghpat,"4,000,000 ֏",AMD,"A plot of land near the house is for sale in Haghpat village, for questions call the indicated phone numberTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18558207,
For Industrial Use,"29,000 sq.m.",Lorri › Lermontovo,"$65,000",USD,"The apartment is located in Lermontvo, Dilijan. With a certificate of ownership. Has a building permit. There are 2 lakes, 1 barn. Call for all detailsTranslated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18541066,
For General Purpose,500 sq.m.,Lorri › Arevatsag,"$20,000",USD,Land for general use in Arevazagi Dzor is for sale.Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18538924,
For General Purpose,53 sq.m.,"Զորավար Անդրանիկի փողոց 12, Վանաձոր","$22,000",USD,"The shop is for sale together with the adjacent plot of land, 53 square meters, it has a basement floor, there is a possibility to enlarge the shop. It is located in Vanadzor, near the lakes.Translated from Armenian",Dec-15-2022_22-13,https://list.am/en/item/18524595,
For Residential Development,600 sq.m.,Lorri › Stepanavan,"5,000 ֏",AMD,Продается участок Степанаван остальное по телефону,Dec-15-2022_22-13,https://list.am/en/item/18506588,
For Residential Development,1000 sq.m.,Lorri › Dsegh,"$11,000",USD,1000 square meters of land for sale in the picturesque Dsegh village of Lorva. The land is provided with water and gas. There are fruit trees. It is considered a home area and has a building permit.Translated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18442952,
For Industrial Use,1811 sq.m.,Lorri › Vanadzor,"$120,000",USD,Chicken farm - 925 square metersAdministrative building - 423 square metersPantry. - 19 square metersHeat treatment workshopfenceTranslated from Armenian,Dec-15-2022_22-13,https://list.am/en/item/18511911,
For Residential Development,1400 sq.m.,Lorri › Gyulagarak,"$7,500",USD,Вода газ электричестао рядом,Dec-15-2022_22-14,https://list.am/en/item/18482303,
Agricultural,2200 sq.m.,Lorri › Dsegh,"$6,000",USD,It is located 500m from Dsegh village to Marts village.Translated from Armenian,Dec-15-2022_22-14,https://list.am/en/item/18451036,
For Residential Development,599 sq.m.,"Խնձորուտ 1-ին փողոց, Վանաձոր","$5,000",USD,A plot of land near the house is for sale in Vanadzor Shahumyan State Farm. Call in case of questionsTranslated from Armenian,Dec-15-2022_22-14,https://list.am/en/item/18476646,
For Public Buildings,3500 sq.m.,Lorri › Alaverdi,"10,000,000 ֏",AMD,"K. Alaverdi Sanahin district 53, 2nd street, land and building (former restaurant), land: 3500 square meters, building: 170 square meters, electricity (three-phase) and water availableSanahi is in the lower part of the villageTranslated from Armenian",Dec-15-2022_22-14,https://list.am/en/item/18473018,"Electricity, water supply, sewerage"
For Residential Development,1200 sq.m.,Lorri › Arjut,"1,500,000 ֏",AMD,A 1200 m plot of land near the house is for sale in the village of Shupt Arjut. It also has a small cabin.Translated from Armenian,Dec-15-2022_22-14,https://list.am/en/item/18463635,
Agricultural,"50,000 sq.m.","Vardanants Street, Vanadzor","2,000,000 ֏",AMD,"Half-built house, 5000 meter garden, Hallavar village, Lori region, price: 2000000 million dramsTranslated from Armenian",Dec-15-2022_22-14,https://list.am/en/item/18448620,
