Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Condition
House,Stone,61 sq.m.,1,3,1,,Old Renovation,241 sq.m.,Tavush › Ijevan,"$22,000",USD,"(Code 4/25) A private house is for sale in Ijjan city, in the district near the center, the area is 61.8 sq / m, and the size of the land is 241 sq / m, it is gasified, has electricity, and the water Price $ 22,000. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with a real estate agency. Do not write a letter, call for all discussions.Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/16704957,
House,Stone,146 sq.m.,1,5,1,Not available,Cosmetic Renovation,850 sq.m.,"Kalinini street, Dilijan station","$42,000",USD,House for sale on camo street with very cheap 850m land on the bank of the riverTranslated from Armenian,Nov-25-2022_00-21,,,,,https://list.am/en/item/17831473,
House,Stone,110 sq.m.,1,4,2,,Major Renovation,321 sq.m.,Tavush › Dilijan,"$135,000",USD,"(Code 9/14) 1-storey private house is for sale in Dilijan, the area is 110.73 sq. M., and the size of the land is 321 sq. M., it has an open balcony, it is gasified, it is provided with hot and cold water and electricity 24 hours a day, The windows are of European production, which have bars, the entrance door is iron, it has a heating system with a buggy, 2 bathrooms, a security system, a parking lot for 3-4 cars. The house is fully renovated, furnished, sold together with all the property, equipment, the price is 135,000 USD. The house is rented for $ 800 a month and brings a stable income. Attention, call only honest, conscientious, civilized and adequate people who are ready to cooperate with a real estate agency. Do not write a letter, call for all discussions. Dear buyers, the nature of the work is such that the agency does not provide a specific address by phone. We hope you will understand. Citizens who speak in unison or do not answer calls do not call, we do not work with you. I repeat once, no address is provided by phone.Code 9-14Translated from Armenian",Nov-25-2022_00-21,,,,,https://list.am/en/item/13771580,
House,Stone,240 sq.m.,1,1,1,2 spots,Partial Renovation,,Tavush › Noyemberyan,"$11,500",USD,"Վաճառվում է սեփական տուն ԲագրատաշենումԳտնվում է Հայ-վրացական սահմանի Բագրատաշեն անցակետից 1 կմ հեռավորության վրա (Թբիլիսիից 78 կմ) գյուղապետարան տանող ճանապարհի սկզբնասումԲնակելի 1 սենյակ 33 մ, ավտոտնակ 17 մ + մառան15մ, առանձին մառան 18մ, հողատարածք140 մ",Nov-25-2022_00-21,Not available,,,,https://list.am/en/item/14161660,
House,Stone,250 sq.m.,2,5,2,,Partial Renovation,1200 sq.m.,Tavush › Dilijan,"$85,000",USD,"Այս երկհարկանի առանձնատունը գտնվում է Դիլիջան քաղաքի գեղատեսլիլ հատվածներից մեկում։Հողատարածքի մակերեսը՝ 1200ք/մ (ունի ընդլայնվելու հնարավորություն)Առանձնատան ընդհանուր մակերեսն է՝ 250ք/մ1-ին հարկը բաղկացած է՝ ընդարձակ նախասրահից, հյուրասենյակից, խոհանոցից և 1 ննջասենյակից։ Առկա է նաև 1 սանհանգույց՝ առանձին լոգարանով։2-րդ հարկում են գտնվում 3 ննջասենյակները և սանհանգույցը։Առկա է ձեղնահարկի (մանսարդ) հնարավորություն։Առանձնատունը կառուցվել է 2014 թվականին։ Ներքին բաժանման աշխատանքները կատարված են։ Հարդարման աշխատանքները կատարված են մասնակի, հատակը հարթեցված է (стяжка), պատերը ներկելու պատրաստ (под покраску) : Տեղադրված են բոլոր դռները և պատուհանները, դրսի պատուհաններին ամրացված են գեղեցիկ ճաղավանդակներ։ Առանձնատունը գազաֆիկացված է, առկա են մնացած կոմունիկացիաները։ Տան հարևանությամբ կա օժանդակ շինություն։Առանձնատունը գտնվում է վայրի բնության գրկում, շրջապատված է խիտ և փարթամ բուսականությամբ։ Այստեղից բացվում է գեղեցիկ տեսարան դեպի հարակից անտառներն ու լեռները, իսկ անմիջապես հարևանությամբ հոսում է գետը։ Այս պայմանները հիանալի հնարավուրություն են ստեղծում առանձնատունը որպես հյուրատուն կամ հանգստյան տուն դարձնելու և սեփական բիզնես հիմնելու։Դիլիջան քաղաքը լեռնային կլիմայական հանգստավայր է Հայաստանում: : Իր կլիմայական տվյալների, ինչպես նաև մեծ թվով տեսարժան վայրերի շնորհիվ Դիլիջան քաղաքը իսկապես Հայաստանի առողջարանային մայրաքաղաքն է: Քաղաքին տրված է ազգային պարկի կարգավիճակ: Տարեկան Դիլիջան այցելում է միջինում մոտ 150 հազար զբոսաշրջիկ աշխարհի տարբեր անկյուններից։ Հեռավորությունը մայրաքաղաք Երևանից կազմում է 96 կմ։Կոդ 14389546",Nov-25-2022_00-21,,,,,https://list.am/en/item/14389546,
Country House,Stone,350 sq.m.,3,8+,3+,3 or more spots,Designer Renovation,900 sq.m.,"Կամոյի փողոց 225, Դիլիջան","$720,000",USD,"Capital renovated.It has 80 square meters of living room, separate kitchen, 4 bedrooms, children's playroom and entertainment hall with pool table.It has a spacious yard for 8-10 cars.Sold with all property and appliances.Translated from Armenian",Dec-15-2022_21-57,Available,"Fireplace, barbecue oven, gazebo, alarm system","Fridge, stove, washing machine, drying machine","Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18665958,House is Finished
House,Stone,137 sq.m.,2,6,2,2 spots,Major Renovation,685 sq.m.,Tavush › Dilijan,"$125,000",USD,"The two-story house has been completely renovated and is located on Sayat Nova street, ""one of the widest and most convenient unique streets in the city"".It is furnished and has all the facilities for complete relaxation and permanent residence.Translated from Armenian",Dec-15-2022_21-57,Available,"Barbecue oven, gazebo","Air conditioner, fridge, stove","Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18725938,House is Finished
House,Stone,75 sq.m.,1,3,1,,No Renovation,1220 sq.m.,Tavush › Dilijan,"$65,000",USD,"A house for sale in Dilijan city with its own land, call for questionsTranslated from Armenian",Dec-15-2022_21-57,,,,,https://list.am/en/item/18502082,
House,Stone,130 sq.m.,1,4,1,Not available,Cosmetic Renovation,960 sq.m.,Tavush › Khashtarak,"$10,000",USD,"A residential one-story house with a large basement is for sale along with a plot of land. It has been cosmetically renovated, the tank is covered with tin, it has gas, electricity and water.Translated from Armenian",Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/18724592,House is Finished
House,Stone,1100 sq.m.,2,8+,1,1 spot,Partial Renovation,1070 sq.m.,Tavush › Dilijan,"$119,000",USD,"The house is located at Kamari 53, (continuation of Takhta district) in Dilijan, 3 minutes from the center of Dilijan, 6 minutes from the forest. There are 3 roads leading to the house, 1 paved, the other 2 are being renovated. The house has a wonderful view. And most of Dilijan can be seen. There is constant water, sewage, gas. It is a very solid house. For other questions, call. Address: Kamarini 53.Translated from Armenian",Dec-15-2022_21-57,Available,Barbecue oven,"Fridge, stove","Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18606704,House is Finished
House,Stone,250 sq.m.,2,8+,2,1 spot,Cosmetic Renovation,1100 sq.m.,Tavush › Dilijan,"$120,000",USD,"A stone (solid, capital building) detached house is for sale in an elevated neighborhood 2 minutes away from the center of Dilijan, with a wonderful view of the city and forests. When watching from the balcony, the whole of Dilijan appears in your palm. A unique natural scene. The house was built in 1978, it is earthquake resistant, it has all the utilities.Translated from Armenian",Dec-15-2022_21-57,Not available,,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18604881,House is Finished
House,Stone,400 sq.m.,2,3,1,Not available,Old Renovation,320 sq.m.,"Հովսեփյան փողոց, Դիլիջան","25,000,000 ֏",AMD,"A 2-storey stone house for sale in Dilijan. The foundation and walls of the house are very strong, with a high ceiling. The first floor is empty, can serve as both a living and a business space. The main living area is located on the second floor. The house is gasified, has electricity and constant water. Two bedrooms, spacious living room, comfortable kitchen. The bathroom and toilet are separate. At the back of the house there is an open balcony with a wonderful view of nature. There is a plot of land near the house.*Price is negotiable.* Exchange with an apartment in Yerevan is possible.For details, call the indicated numbers.Translated from Armenian",Dec-15-2022_21-57,By agreement,,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18645216,
House,Stone,132 sq.m.,2,3,1,Not available,No Renovation,81 sq.m.,Tavush › Dilijan,"$25,000",USD,Residential house for sale in Aghavnavank village of Dilijan community. There is also a plot of land (garden) next to the house.Translated from Armenian,Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/18565508,House is Finished
House,Stone,1180 sq.m.,1,2,1,Not available,No Renovation,,"Улица Еркрагорцнери 10, Մերձավան","$6,000",USD,"Վաճառվում է սեփական տան կեսը Նոյեմբերյանում, Անտառագործների փողոց կես տան մակերեսը 56.7 ք. Մ. , հաստ պատեր, տանիքը նորմալ վիճակում, բարձր հարկ, ներքևը՝ տնտեսական տարածք, դուռ, պատուհան չկա.Հողամասում կան պտղատու ծառեր: Հարևան միանման հողամասի հետ ցանկապատ դեռևս չկա, անհրաժեշտ է բացել առանձին մուտք: Հարևանի հողատարածքում միացված է ջուր, գազ, հոսանք, այսինքն կա հնարավորություն այդ ամենը ունենալ:Продается половина собственного дома в Ноемберяне, площадь половины дома 56.7кв. М. , толстые стены, крыша в нормальном состоянии, бельэтаж, на первом этаже хозяйственное помещение, окна, двери отсутствуют.Земельный участок, плодовые деревья (с соседним участком пока нет ограждения, необходимо соорудить отдельный вход на участок) На соседнем участке проведены вода, газ, электричество, то есть есть возможность все это провести",Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/18673505,House is Unfinished
House,Stone,700 sq.m.,2,7,1,1 spot,Old Renovation,310 sq.m.,"Улица Степана Шаумяна 6, Дилижан","$140,000",USD,"Дом находьица вдилижане, ул гая дом 13",Dec-15-2022_21-57,Available,,,,https://list.am/en/item/18458124,House is Finished
House,Stone,200 sq.m.,2,5,1,Not available,Old Renovation,690 sq.m.,Tavush › Dilijan,"$55,000",USD,"Սեփական քարե տունը գտնվում է Տավուշի Մարզ, ք. Դիլիջան գ Հաղարծինում (Դիլիջանից 9կմ. Հեռավորությամբ), տունը երկհարկանի է, կառուցված է բավականին ամուր, ունի հողակտոր, Դիլիջան - Իջևան մայրուղուց մոտ է 100 մ հեռավորությամբ։ Սեփական տունը ունի տանիք, հարկերը ամբողջովին սվաղված են գաջով, էլեկտրականության կետերը տեղադրված են, ջեռուցման համակարգը մոնտաժված է, երկրորդ հարկի հատակը փայտապատ է, առաջին հարկի հատակը բետոնապատված է, ունի ազատ պլանավորում, բոլոր կոմունիկացիաները հարևանությամբ առկա են, պատշգամբից բացվում է գեղեղեցիկ տեսարան;Շինության մակերեսը կազմում է 100 քմ ամեն հարկը:Продается каменный, двухэтажный дом, с площадью 200 кв. М. Дом находится неподалеку от города Дилижан (9км.) Дом имеет земельный участок с площадью 690 кв. М.Крыша дома четырехскатная, стены полностью оштукатурены, проведена внутренняяэлектропроводка, смонтирована система отопления, пол второго этажа покрыт половыми досками. Первый этаж имеет свободную планировку, пол первого этажа выполнена из бетона, из балкона открывается прекрасный вид.Площадь дома составляет 100 квадратных метров на каждом этаже.Translated from Armenian",Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/18522767,House is Finished
House,Stone,143 sq.m.,2,4,1,Not available,No Renovation,800 sq.m.,"Պարզ Լիճ փողոց, Դիլիջան","$40,000",USD,ID3806A private house is for sale in Diljan.First lineTranslated from Armenian,Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/18399406,House is Unfinished
Country House,Monolith,50 sq.m.,1,2,1,2 spots,Euro Renovation,220 sq.m.,Tavush › Dilijan,"$65,000",USD,"Сдаётся отдельный частный дом в центре города, со всеми удобствами, посуточно и ежемесячно. Возможна и продажа дома.",Dec-15-2022_21-57,Available,,,,https://list.am/en/item/18552705,House is Finished
Country House,Stone,55 sq.m.,1,2,1,Not available,No Renovation,80 sq.m.,"Улица Мхитарян 2, Дилижан","$23,000",USD,"Продаётся недостроенный дом. Есть возможность поставить второй этаж.Хорошее местоположение, близко к центру города, с прекрасным видом на горы.",Dec-15-2022_21-57,Available,,,,https://list.am/en/item/18552612,House is Under Construction
House,Stone,300 sq.m.,2,6,1,,Major Renovation,1000 sq.m.,Tavush › Ijevan,"$45,000",USD,"Wine factory district.At the edge of the forest.Suitable for animal husbandry.Gas, electricity, drinking water, irrigationTranslated from Armenian",Dec-15-2022_21-57,,,,,https://list.am/en/item/18543132,
House,Stone,332 sq.m.,2,5,1,,Partial Renovation,1272 sq.m.,Tavush › Dilijan,"$80,000",USD,"Продаётся двухэтажный дом, имеет 5 комнат",Dec-15-2022_21-57,,,,,https://list.am/en/item/18394813,
Country House,Stone,180 sq.m.,2,6,2,2 spots,Euro Renovation,480 sq.m.,"Maxim Gorky Street 38, Dilijan","$105,000",USD,"Two-story private house next to Dilijan Square, second floor renovated in Euro, separate entrance, house has all utilities, green yard, swing and bench, fully enclosed besetka, parking with roof, toaster grill.Operating businessAlso exchange for an SUV at an additional cost on your partTranslated from Armenian",Dec-15-2022_21-57,Available,"Barbecue oven, gazebo","Fridge, stove, washing machine","Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18437686,House is Finished
Country House,Stone,1000 sq.m.,2,7,2,2 spots,Old Renovation,1000 sq.m.,Tavush › Noyemberyan,"16,000,000 ֏",AMD,Noyemberyan village KotiTranslated from Armenian,Dec-15-2022_21-57,Available,"Swimming pool, fireplace",,,https://list.am/en/item/18718928,House is Finished
House,Stone,400 sq.m.,1,4,1,,Old Renovation,200 sq.m.,"Улица Гетапня, Дилижан","$100,000",USD,"The land is located in c. At 34 Getapnya Street, Dilijan.Total area about 400m2.Translated from Armenian",Dec-15-2022_21-57,,,,,https://list.am/en/item/18075502,
House,Stone,1500 sq.m.,2,6,1,1 spot,Old Renovation,300 sq.m.,"Kamo Street, Dilijan","$70,000",USD,"Գտնվում է Դիլիջանի սկզբնամասում, գլխավոր ճանապարհի դիմաց, պատերը ունեն ճաքեր, բայց բնակելի է, կա գազ, հոսանք, ջուրը պիտի քաշվի, շատ հարմար տեղա հյուրանոցի համար, կամ վերանորոգել և տալ վարձով կամ օրավարձով, և այլն, մանրամասն զանգեք։Находится в начале Дилижана, напротив главной дороги, в стенах есть трещины, но жилой, есть газ, свет, воду надо провести, очень удобное место под гостиницу, либо под ремонт и отдать под аренда или посуточная аренда и т. Д. , подробности по телефону.Translated from Armenian",Dec-15-2022_21-57,Available,,,,https://list.am/en/item/18573704,House is Under Construction
House,Stone,120 sq.m.,1,5,1,Not available,Partial Renovation,693 sq.m.,"Կալինինի փողոց, Դիլիջան","$192,000",USD,"Code 1242,A private house is for sale in one of the beautiful districts of Dilijan.13 m frontage, two entrances,bright sunny living room, kitchen,4 bedrooms, 1 bathroomopen balconyBoth entrance doors have been changed, interior doors have been changed,European windows, heating system,The bathroom is newly tiled.Translated from Armenian",Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/18660199,House is Finished
House,Stone,2750 sq.m.,1,3,1,Not available,Partial Renovation,2200 sq.m.,Tavush › Gosh,"$50,000",USD,Own house for sale in Gosh village of Dilijan2750 total550 dwellingsTranslated from Armenian,Dec-15-2022_21-57,Available,,,,https://list.am/en/item/18421707,House is Finished
House,Stone,473 sq.m.,3,7,3+,3 or more spots,No Renovation,1012 sq.m.,Tavush › Dilijan,"$215,000",USD,"Продается 3-х этажный дом + мансарда в Дилижанe. Дом расположен на первой линии в г. Дилижан, в 5-ти минутах от центра.Жилая площадь дома 473,4 кв. М + мансарда 194,04 кв. М, общая площадь 667,44 кв. М. , земельный участок 1012 кв. М.В доме 2 зала, 1 кухня, 1 столовая, 6 жилых комнат, 1 гардеробная, 1 кабинет, 3 + ванные комнаты, 3 открытых балкона, 3 подвала, 6 парковочных мест.В доме подведены все коммуникации: Постоянная вода, газ, свет, общее отопление. Без посредника (частное лицо) Возможен торг.",Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/17749022,House is Finished
House,Stone,280 sq.m.,2,7,1,1 spot,Old Renovation,100 sq.m.,Tavush › Dilijan,"$90,000",USD,"Газ, вода, свет, можно жить",Dec-15-2022_21-57,Partial Furniture,Barbecue oven,"Fridge, stove","Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18486986,House is Finished
House,Stone,900 sq.m.,2,7,2,2 spots,Major Renovation,,"Nalbandyan street, Ijevan","$230,000",USD,"Capital renovated. Also available for rent. Monthly payment: 280,000 AMD.Translated from Armenian",Dec-15-2022_21-57,By agreement,,,,https://list.am/en/item/18679321,House is Finished
House,Stone,110 sq.m.,1,4,1,Not available,No Renovation,600 sq.m.,Tavush › Dilijan,"$32,000",USD,"Call for details, all communications are availableTranslated from Armenian",Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/18698056,House is Unfinished
House,Stone,803 sq.m.,2,5,2,,Major Renovation,703 sq.m.,"Maxim Gorky Street, Dilijan","$118,000",USD,"In #Dilijan #center #for sale by owner capital #renovated #house: 100 square meters (total: 803 square meters), #two floors, 5 rooms, #new #property or without property.The plot is 703 square meters with fruit trees.It has a garage with a room and a bathroom.The house is gasified: Hot water, heating.#тундилижанум #просмотровнатундилижану #forsale #sale #vatcarqovtner #купитьдом #купитдомвармении #купитьдомвдилиджанеTranslated from Armenian",Dec-15-2022_21-57,,,,,https://list.am/en/item/18392063,
House,Stone,100 sq.m.,2,4,2,2 spots,No Renovation,760 sq.m.,"Abovyan street, Dilijan","$58,000",USD,"Semi-built house for sale in Dilijan.We have an appz; building permit; project - executed by the best architectural organization of Yerevan. Isn't it Chashakova?))))we have sewerage, water, gas, electricity.Henasian works have been completed (4 million drams), two of which will serve as 2 walls of the pool.For more information callTranslated from Armenian",Dec-15-2022_21-57,Not available,,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18698049,House is Unfinished
House,Stone,216 sq.m.,2,8+,2,2 spots,Partial Renovation,700 sq.m.,"Улица Акопджанян 92, Дилижан","44,000,000 ֏",AMD,"Срочно!ПРОДАЁТСЯ дом в ДилижанеУл. Акопджанян 92Собственник2 этажа, 216 кв. И 7 соток землигаз, канализация, электричество, бойлер, 2 санузла, гараж, большой балконвсе документы оформленыкухня (холодильник, газовая плита)вся мебель, кровати остаётсясад, беседкаЗвонить на Российский номер125.000 $Срочная продажа! ТОРГ!",Dec-15-2022_21-57,Available,Gazebo,"Fridge, stove","Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18637526,House is Finished
House,Stone,115 sq.m.,2,4,1,1 spot,Major Renovation,403 sq.m.,Tavush › Dilijan,"$62,000",USD,"It is in an ideal condition, the furniture is available in all the rooms, all the clothes are new, there is everything you need to live, everything is in an ideal condition.Translated from Armenian",Dec-15-2022_21-57,Available,"Fireplace, barbecue oven, gazebo, alarm system","Air conditioner, fridge, washing machine, drying machine","Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18602474,
House,Monolith,100 sq.m.,3,3,2,1 spot,Euro Renovation,65 sq.m.,"Moldovakan street, Dilijan station","40,000,000 ֏",AMD,"The house is located in Shamakhyan 2 district (cottages of the central bank) The area has an indoor swimming pool, sports hall, futsal, outdoor tennis court, cafe restaurant, billiards, table tennis. It is a great place to enjoy your vacationTranslated from Armenian",Dec-15-2022_21-57,Available,,,,https://list.am/en/item/18452787,House is Finished
House,Stone,530 sq.m.,3,8+,3+,2 spots,Partial Renovation,,"Улица Блбуляна, Иджеван","$250,000",USD,"Продается каменный дом. Состояние: Стяжка и выровненные стены, евроокна.Дом продаётся вместе с действующим бизнесом.",Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/18581427,House is Finished
House,Stone,823 sq.m.,3,4,1,2 spots,Old Renovation,567 sq.m.,"Հակոբջանյան փողոց 24, Դիլիջան","$90,000",USD,"Վաճառվում է առանձնատուն Դիլիջան քաղաքում, կենտրոնից ոչ հեռու, չկան պատ կից տներ, հանգիստ թաղամաս է, տան դիրքը տալիս է հնարավորություն հարմարավետ հյուրանոց կառուցելու, պատշգամբից բացվում է գեղեցիկ տեսարան, տունը վաճառվում է ՇՏԱՊ։Մանրամասների համար զանգահարելՍակարկելի ՇԱՏ ՇՏԱՊПродается частный дом в г. Дилижан, недалеко от центра, смежных домов нет, район тихий, расположение дома дает возможность построить комфортабельную гостиницу, с балкона открывается прекрасный вид, дом продается СРОЧНОДля получения дополнительной информации звоните.Есть не большой торгочень срочно",Dec-15-2022_21-57,By agreement,,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18632091,House is Finished
House,Stone,120 sq.m.,1,3,1,Not available,Partial Renovation,1000 sq.m.,Tavush › Dilijan,"$37,000",USD,The Very Urgent House is located in the village of Khachrattu and has a plot of 1000 square meters next to the riverTranslated from Armenian,Dec-15-2022_21-57,Available,,,,https://list.am/en/item/18406095,House is Finished
House,Monolith,430 sq.m.,2,8+,3+,1 spot,Partial Renovation,700 sq.m.,Tavush › Dilijan,"$150,000",USD,"A two-story private house for sale in Dilijan city. It is located in a beautiful place, it has an orchard. It is locatedOn the central street of Dilijan. You can write or call for details. NegotiableTranslated from Armenian",Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/18542492,House is Finished
House,Stone,120 sq.m.,2,5,1,Not available,Old Renovation,3500 sq.m.,Tavush › Khachardzan,"$70,000",USD,"A private house with its own plot of land is for sale in the village of Khachratov.The land area (3500m) with its fruit trees is suitable for building a guest house, a recreation area, a hotel complex, a convenient way to develop tourism. It is located near the river, surrounded by nature, fresh air. A beautiful place to enjoy your vacation, the distance from Goshavank is 8 km, from Aghavnavak 4 km. I will look at an option with an exchange apartment in Yerevan city, with an additional payment from you up to $10,000-$15,000Translated from Armenian",Dec-15-2022_21-57,Not available,,,"Electricity, water supply, sewerage",https://list.am/en/item/17920074,House is Under Construction
House,Stone,120 sq.m.,1,5,1,Not available,Partial Renovation,700 sq.m.,"Գետափնյա փողոց, Դիլիջան","$225,000",USD,Entrance from the riverside and Kalinin streets.The front partsfrom the riverside street - 14mFrom Kalinin street - 12mTranslated from Armenian,Dec-15-2022_21-57,By agreement,,"Fridge, stove, washing machine","Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18646759,House is Finished
House,Stone,120 sq.m.,1,4,1,2 spots,Partial Renovation,3200 sq.m.,Tavush › Ijevan,"$53,000",USD,"It is located on the road to Yenokavan village, capital building, has a large garage.All communications are available and working. There is also the foundation of the capital building with the plinth part in the area.Translated from Armenian",Dec-15-2022_21-57,Available,,,,https://list.am/en/item/18441760,
House,Stone,250 sq.m.,2,5,1,,Old Renovation,1200 sq.m.,Tavush › Aygehovit,"$20,000",USD,Возможна уступка.,Dec-15-2022_21-57,,,,,https://list.am/en/item/18433501,
House,Stone,1205 sq.m.,3,3,2,2 spots,No Renovation,1206 sq.m.,"Kalinini street, Dilijan station","$135,000",USD,The house is in a newly built district in Dilijan.Translated from Armenian,Dec-15-2022_21-57,Not available,,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/14782490,
House,Stone,300 sq.m.,2,4,1,,Old Renovation,800 sq.m.,"Tavrizyan street, Ijevan","$50,000",USD,"Old renovated, two garages, garden, pool, roof replaced, the rest with the bellTranslated from Armenian",Dec-15-2022_21-57,,,,,https://list.am/en/item/18476461,
House,Stone,180 sq.m.,2,5,2,1 spot,Major Renovation,830 sq.m.,"Իվանովա փողոց, Դիլիջան","$450,000",USD,"The windows are made by Seiko, and the wires are in. There is water, electricity, and gasis located near HOVER Hotel.For sale, the interior walls are plastered, the exterior walls are basalt, travertine, black tuff and woodto be the tunna in the picturehas a very nice view, swimming pool, fireplacevery suitable for businessfor long-term rentTranslated from Armenian",Dec-15-2022_21-57,By agreement,"Swimming pool, fireplace, barbecue oven, gazebo, alarm system","Air conditioner, fridge, stove, dishwasher, washing machine, drying machine","Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18134297,House is Under Construction
House,Stone,139 sq.m.,2,6,2,,Cosmetic Renovation,300 sq.m.,Tavush › Dilijan,"$47,000",USD,"Two-story house, garage in Dilijan city with all utilities.Translated from Armenian",Dec-15-2022_21-57,,,,,https://list.am/en/item/18393362,
Country House,Stone,211 sq.m.,2,6,1,,Cosmetic Renovation,201 sq.m.,Tavush › Dilijan,"$170,000",USD,"The price is negotiable, there is a beautiful view of the forest.I will write and answer during the day. I will send the pictures after I write, because I am not sellingTranslated from Armenian",Dec-15-2022_21-57,,,,,https://list.am/en/item/18420513,
Townhouse,Monolith,88 sq.m.,2,3,3+,Not available,Major Renovation,150 sq.m.,Tavush › Dilijan,"$120,000",USD,"Completely renovated two-story townhouses are for sale in the center of Dilijan. The first floor is occupied by a corridor, a living room, a bathroom and a kitchen, and the second floor is occupied by two bedrooms with their attached bathrooms. Parking for 6 cars, a recreation area and a children's playground are planned in the area. The townhouses will be handed over in the first quarter of 2023 in a renovated state.Code DL-88Translated from Armenian",Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/18470121,House is Under Construction
House,Stone,190 sq.m.,2,5,2,Not available,Old Renovation,2000 sq.m.,Tavush › Dilijan,"$130,000",USD,"In Dilijan city, a two-story stone house with communal facilities is for sale, the land area is 2000 square meters, there is a garage in the yard, there are fruit trees in the yard.The price is negotiable.Translated from Armenian",Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/18418289,House is Finished
House,Stone,220 sq.m.,2,4,1,Not available,Old Renovation,400 sq.m.,Tavush › Dilijan,"$28,000",USD,"A two-story house is for sale in Dilijan. It is located in the area near the city center. The roof is mansard and new, there is gas, electricity, water, sewerage. It has 300m of land and needs renovation. Only real buyers should call.AmyTranslated from Armenian",Dec-15-2022_21-57,Not available,,,,https://list.am/en/item/18530309,
House,Stone,109 sq.m.,1,4,1,Not available,Euro Renovation,792 sq.m.,Tavush › Ijevan,"15,300,000 ֏",AMD,"The property is a Bank Collateral that is in BANKRUPTCY auction.Tavush marz, c. There is a residential house at 11/1, Gharagyozyan street, 1st lane, Ijevan, 108.65 square meters, floor area: One floor, metal entrance door, wooden interior doors, wooden windows, all communications are available. In general, the interior and exterior decoration of the residential house, the landscaping of the yard is in an average to good condition.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Dec-15-2022_21-57,Not available,,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18689635,House is Finished
House,Stone,197 sq.m.,2,5,1,1 spot,Euro Renovation,230 sq.m.,Tavush › Ijevan,"28,800,000 ֏",AMD,"The property is a Bank Collateral that is in BANKRUPTCY auction.Tavush marz, c. Residential house located at 11 Gharagyozyan Street, Ijevan, 196.73 square meters, plot of land: 230 square meters, 73.7 square meters, and 58.1 square meters, outbuilding 37.44 square meters. The property has one floor and an attic. The foundation of the building is reinforced concrete. The mezzanine cover is reinforced concrete. In general, the interior and exterior decoration of the residential house is in good condition.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Dec-15-2022_21-57,Not available,,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18689618,House is Finished
House,Stone,150 sq.m.,1,5,1,,Old Renovation,700 sq.m.,Tavush › Dilijan,"$100,000",USD,Продается дом г. Дилижан ул. Калинина 81,Dec-15-2022_21-57,,,,,https://list.am/en/item/18387790,
House,Stone,193 sq.m.,2,4,1,1 spot,Euro Renovation,119 sq.m.,Tavush › Ijevan,"30,330,000 ֏",AMD,"The property is a Bank Collateral that is in BANKRUPTCY auction.Tavush marz, c. Ijevan, c. At 18/11, Nalbandian Street, Ijevan, there is a residential house with an area of 192.9 square meters, a plot of land with an area of 118.9 square meters. Building structure - one floor and basement, the foundation of the building is reinforced concrete, the entrance door is metal, the interior doors are wooden, the windows are metal-plastic. In general, the interior and exterior decoration of the residential house is in good condition.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Dec-15-2022_21-57,Not available,,,"Electricity, water supply, natural gas, sewerage",https://list.am/en/item/18688179,House is Finished
