Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Facilities,Appliances,Links
Country House,Stone,75 sq.m.,3,5,1,Not available,Not available,No Renovation,500 sq.m.,Kotayk › Aragyugh,"$13,000",USD,"Продаётся дача, красивый вид, дача находится в дачном посёлке Араландж",Nov-24-2022_23-13,,,,https://list.am/en/item/17915695
Country House,Stone,25 sq.m.,1,2,1,,,No Renovation,300 sq.m.,"Andranik Zoravar St, Hrazdan","$7,000",USD,"A summer house in the village of Aghavnadzor, near the community hall, in the center of the village, with fairy-tale nature.There is a barn (can be used as a garage)from the main road to the house is asphalt,look at my other postExchange...Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18220233
House,Monolith,780 sq.m.,4+,5,3+,,,No Renovation,,"Arinj 25th street 30, Առինջ գյուղ","$250,000",USD,"3-storey detached house in Arinj village with an area of 780 square meters. Basement 195 square meters (suitable for production or storage), 3rd floor - attic 195 square meters, orchard 1300 square meters with stone fence, all utilities (sewerage, gas, water, electricity), asphalt road.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/7533325
House,Stone,120 sq.m.,1,1,1,,3 or more spots,Partial Renovation,1200 sq.m.,Kotayk › Aragyugh,"10,000,000 ֏",AMD,"There are two buildings on the plot, 120 square meters and 30 square meters, both of them are made of stone, there are also fruit trees, 25 kilometers from Yerevan, next to the highway.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18078283
House,Stone,350 sq.m.,3,7,3+,Available,Not available,Major Renovation,1400 sq.m.,Kotayk › Balahovit,"$255,000",USD,"A three-storey private house with a large land is for sale, it is capitally renovated, has a 50 sq. M. Garage, the windows and doors are of European production. Iron entrance door, oak floor, bathroom, kitchen and corridor are tiled. BAXI heating system is installed, it has constant hot and cold water. For sale together with furniture.Code 24584Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17010207
Country House,Stone,1000 sq.m.,2,3,1,,,Cosmetic Renovation,153 sq.m.,"11th Street 18, Ptghni village","$78,000",USD,"Private house for sale in Verin Ptghni, Kotayk region, Brabion sector, 8th district, land area 1000 m/sq. , stone fence, orchard, swimming pool 3x6, barbecue, shed, shed, summer bath, 2 bedrooms, hallway, living room, toilet, swimming pool, bathroom, privatized, constant drinking water, irrigation water, gas, electricity, the total area of the house is 153.25 m/sq.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18086564
House,Stone,250 sq.m.,3,4,3+,,,Major Renovation,500 sq.m.,Kotayk › Jrvezh,"$115,000",USD,"Two-storey private house in Jrvezh village, not far from the bus stop, on the side of the gorge, 500 sq. M. Land, 250 sq. M. House ․ The 2nd floor is fully renovated where there are 3 bedrooms, a living room, a large open balcony, a kitchen, a bathroom ․ There is a garage in front of the house, made of stone ․ In case of a real buyer, the price is negotiable ․Code 5862Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/7433306
Country House,Stone,150 sq.m.,2,3,1,,,Cosmetic Renovation,1000 sq.m.,Kotayk › Kanakeravan,"$37,500",USD,"On the bank of Zangvi, near Kanakeravan, a two-story large terrace with a parking space, a separate basement, energy for irrigation and drinking water, fruit trees.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16654084
Country House,Stone,100 sq.m.,3,4,1,,,Cosmetic Renovation,500 sq.m.,"Dzoraghbyur 1-st block, Dzoraxbyur","$45,000",USD,"For sale or tradeA 3-story country house with a 1-room apartment in Yerevan.The 1st floor is a basement, the 2nd floor is residential, the 3rd floor is a mansard with an open balcony.There is a plot of land, fruit trees, swimming pool, toaster in the yard.It is possible to park 2 cars.For more information call.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18059461
House,Stone,150 sq.m.,2,4,1,Available,Not available,No Renovation,370 sq.m.,Kotayk › Jrvezh,"$87,000",USD,"Code-13845: Two-storey private house is for sale in Jrvezh. The interior of the house is unfinished. There is an exit from the bedrooms to the open balconies. Each floor is 75 square meters. Sewage, water and electricity are available, and gas is nearby.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/10902853
House,Stone,346 sq.m.,3,4,3+,,,Major Renovation,1075 sq.m.,Kotayk › Jrvezh,"$350,000",USD,"Կոդ 11333 Վաճառվում է եռահարկ առանձնատուն Ջրվեժում: Ունի ամառային խոհանոց, լողավազան, գեղեցիկ պտղատու այգի: Շինությունը կապիտալ վերանորոգված է, տրված է գեղեցիկ դիզայներական լուծումներ: Վաճառվում է գույքի և տեխնիկայի հետ միասին: Պատուհանները եվրոպական արտադրության են, սանհանգույցները սալիկապատ են, անցկացված է անհատական ջեռուցման համակարգ:",Nov-24-2022_23-13,,,,https://list.am/en/item/10237030
House,Stone,318 sq.m.,2,4,1,By agreement,1 spot,Old Renovation,1068 sq.m.,Kotayk › Jrvezh,"$130,000",USD,"Կոդ 11211 Վաճառվում է երկհարկանի առանձնատուն Ջրվեժ գյուղում: Առանձնատունը հին մաքուր վիճակում է, գազաֆիկացված, ապահովված մշտական ջրով: Ունի պտղատու, գեղեցիկ այգի, բուխարի, բակ: 1-ին հարկում ա/կայանտեղի է, լողավազան, խաղասրահ, շոգեբաղնիքի համար նախատեսված տարածք: 2-րդ հարկը բնակելի է, առկա է 3 ննջասենյակ, հյուրասենյակ, նախասրահ, բաց և փակ պատշգամբներ, սանհանգույց և խոհանոց",Nov-24-2022_23-13,,,,https://list.am/en/item/10004110
Country House,Stone,172 sq.m.,2,3,1,,,No Renovation,504 sq.m.,"Dzoraghbyur 1-st block, Dzoraxbyur","$30,000",USD,A summer house for sale in Dzoraghbyur together with a beautiful gardenCode 50017Translated from Armenian,Nov-24-2022_23-13,,,,https://list.am/en/item/17931324
House,Stone,1100 sq.m.,2,7,1,,,Euro Renovation,1000 sq.m.,"Kentronakan street, Akunk","$200,000",USD,"Private house for sale in Akunk villageRenovated. Has its own water, BAXI system, beautiful yard. Call for details.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16172422
House,Stone,89 sq.m.,1,3,1,,,Euro Renovation,250 sq.m.,Kotayk › Kasagh,"$75,000",USD,For more information call.Code 0270:Translated from Armenian,Nov-24-2022_23-13,,,,https://list.am/en/item/17695492
House,Stone,180 sq.m.,2,4,1,,,No Renovation,700 sq.m.,Kotayk › Hrazdan,"$30,000",USD,Mansion Jrarat city. In (Mothers) Near Tsakhkadzor. Very convenient place for a summer house. Garage in the building. Call for butter for all other details.Translated from Armenian,Nov-24-2022_23-13,,,,https://list.am/en/item/17793229
House,Stone,264 sq.m.,2,5,1,By agreement,1 spot,Cosmetic Renovation,1000 sq.m.,Kotayk › Jrvezh,"$150,000",USD,"Code 11280 A two-storey private house is for sale in Jrvezh. The house is clean. The windows are of European production, the bathroom is tiled. It is gasified, has a central sewer. There is a summer kitchen, a beautiful garden with fruit trees, a separate garage of 36 sq. M.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/10134504
House,Stone,142 sq.m.,2,4,2,,,Euro Renovation,650 sq.m.,Kotayk › Hrazdan,"$55,000",USD,"A two-story, euro-renovated private house is for sale in the southern district of Hrazdan city. The private house has 1 living room, 3 bedrooms, an open balcony, it is completely renovated, all utilities are available, a baxi heating system is installed. The area of the house is 140 square meters (70 square meters each floor), first floor. The floor is used as a warehouse, a storage area. The area of the land is 650 square meters, it is cultivated, there are fruit trees, a covered pavilion and a summer kitchen with all its facilities are built. There is a garage for parking 2 cars. The house is located very quietly, quietly and in a good neighborhood, close to school, kindergarten, bus stop, supermarkets, bank, bakery, beauty salons, post office and all necessary facilities. Sold with all property, appliances and garage. Price negotiable.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18107567
Country House,Monolith,150 sq.m.,2,4,2,,,Major Renovation,750 sq.m.,"Ավետիք Իսահակյանի փողոց 29, Նոր Գեղի","$240,000",USD,"Located about 20 km from the city of Yerevan, it is a specially built capital building, consisting of a mansard floor with 3 bedrooms with separate balconies and a bathroom. On the first floor there is a living room with a kitchen, a bathroom. In the developed garden there is a summer kitchen for up to 25 people, open and closed closets, an external bathroom. There is a fountain, a filtered swimming pool, a sauna. It is self-sufficient with an electric boiler, there is gas nearby.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16955336
House,Stone,250 sq.m.,1,6,1,,,Old Renovation,3000 sq.m.,Kotayk › Teghenik,"$35,000",USD,"Продается дом с земельным участком! Дом одноэтажный + цокольный этаж! В доме 8 комнат + хоз. Постройки! Требуется ремонт. Большой участок с плодовыми деревьями! Имеется питьевая и поливная вода, есть возможность провести газ. Площадь участка 3000кв. М. , общая площадь дома 250 кв. М. По всем вопросам пишите по указанному номеру. Вайбер, ватсап или телеграм, я дам мой российски номер",Nov-24-2022_23-13,,,,https://list.am/en/item/17573634
Country House,Stone,142 sq.m.,1,4,3+,Not available,1 spot,Partial Renovation,800 sq.m.,"Erevanyan street 1, Yeghvard","$70,000",USD,"The summer house is located at the beginning of Yeghvard, on the first line, there is electricity, water, there are adjacent summer houses, it is legal, it has a certificate, the roof is made, there is also a semi-built summer house nearby, 142 square meters, 800 square meters of land, $35,000Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17610828
House,Stone,169 sq.m.,2,8+,1,,,Old Renovation,1016 sq.m.,Kotayk › Garni,"$88,000",USD,"Code-14391: Two-storey private house is for sale in Garni. The windows have been partially changed. There is a basement, a garage, an orchard. All communications are available.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17243926
House,Stone,195 sq.m.,3,7,3+,,2 spots,Partial Renovation,1940 sq.m.,Kotayk › Jrvezh,"$450,000",USD,"Code-14666: Three-storey private house is for sale in Jrvezh. There are 4 bedrooms, 3 bathrooms, a basement, a garage of 58 sq. M., a swimming pool of 33 sq. M., an orchard, a well-maintained yard.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17756620
House,Stone,604 sq.m.,3,7,3+,,3 or more spots,Euro Renovation,1376 sq.m.,Kotayk › Jrvezh,"$550,000",USD,"Code-14125: A three-storey private house is for sale in Jrvezh, in the 5th block of Nor Nork. There are 2 living rooms, 7 bedrooms, 4 bathrooms, sauna, swimming pool, basement, storage room, open spacious balcony, attic, orchard, garage for 4 cars. The house can serve as a guest house, school, kindergarten, office, etc.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16711154
House,Stone,350 sq.m.,2,6,3+,,,Major Renovation,1400 sq.m.,Kotayk › Jrvezh,"$400,000",USD,"A beautiful two-storey private house is for sale in Jrvezh.The land area of the house is 1400 square meters, and the total area is 350 square meters.The house is fully renovated. The height of the ceilings is 3 m.The house consists of six rooms:It has the 1st floor:1 spacious living room1 bedroom1 kitchen3 bathroomsIt has the 2nd floor:3 bedrooms, one of which is a master2 bathroomsoffice with internet2 outdoor balconiesIndoor poolSports hallBilliard roombasementThe summer house also has a beautiful orchard, a chat room, as well as a summer kitchen with all amenities.All utilities are available. The house is provided with gas, electricity, hot and cold water, sewerage, ventilation, heating.There is also a modern security system. Cameras, sound system with motion and door / window sensors are installed.The house is completely fenced.The house is fully furnished, for sale together with the furniture.Best regards Asatryan Consulting LLC:Code 17409741Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17409741
House,Stone,200 sq.m.,2,4,2,,,Partial Renovation,350 sq.m.,Kotayk › Ptghni,"$120,000",USD,"Code 1225,a newly built two-story private house for sale in Ptghni,the second floor is renovated, a kitchen connected to the living room, 3 bedrooms, a bathroom,the first floor has not been renovated, it is covered with plaster,there is drinking water, irrigation water, gas, heating system,sold with furnitureTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18072189
Country House,Stone,60 sq.m.,1,1,1,Available,Not available,Cosmetic Renovation,550 sq.m.,"Dzoraghbyur 1-st block, Dzoraxbyur","15,800,000 ֏",AMD,"The summer house has a parking lot, summer bathroom, basement, attic - half-built, many fruit trees: Cherry, spinach, apricot, apple, pear, there, currant, almond, hazelnut, walnut, grape, mulberry.It has a separate stone structure. Has gas and electricity.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16798423
House,Stone,786 sq.m.,2,8+,2,Not available,3 or more spots,No Renovation,914 sq.m.,"Երկրապահների փողոց 3, Նոր Գեղի","$120,000",USD,"The house has a basement of 183 square meters. M. Entrance from the yard and inside the house, garage 105 sq. M. M. , the ground floor and second floors of the house are 498 square meters. M.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16511812
House,Stone,120 sq.m.,1,4,2,Not available,Not available,No Renovation,1300 sq.m.,"2-րդ փողոցի 1-ին փակուղի 1, Մրգաշեն համայնք","$52,000",USD,"1-storey private house for sale, 2 floors under tuff, 46 sq m basement, the roof is acin. Drinking water, irrigation, electricity, gas, 3/4 fence of the area.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17820694
House,Stone,360 sq.m.,2,8+,3+,,Not available,Major Renovation,430 sq.m.,Kotayk › Arinj,"$300,000",USD,"A 2-storey detached house with a large terrace on the 3rd floor is for sale in the intersection of Avan-Arinj village, the total area of which is 360 square meters, each floor is 120 square meters, and the land area is 430 square meters. The main construction works of the mansion have been done, the roof and wall partitions have been made, panoramic windows have been installed, communications are in place, electric wires, sewage and water supply pipes and gas have been laid, the floor has been leveled. On the 1st floor there is a living room, a separate kitchen, a study, a bedroom with its own bathroom and 1 bathroom for guests, on the 2nd floor there are 4 bedrooms, all with dressing rooms, 2 bathrooms and an open balcony. Entrance from 2 bedrooms. The yard is fenced, there is an outdoor parking space. The neighborhood is populated and developing rapidly, there are newly built houses, shops and transport stops nearby.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18194222
Country House,Monolith,146 sq.m.,2,3,1,By agreement,2 spots,No Renovation,1100 sq.m.,Kotayk › Dzoraghbyur,"$39,000",USD,"Semi-detached building, parking for 2 cars at the back of the house, spacious yard, swimming pool 18m*, depth 1.6m, fruit trees, great view of Yerevan and Abovyan cities, Masis, Aragats and Hatis mountainsTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18194160
House,Stone,140 sq.m.,1,4,2,,,No Renovation,500 sq.m.,"Խաչատուր Աբովյանի 5-րդ փողոց 13, Առինջ","$125,000",USD,Needs major repairsCode 50179Translated from Armenian,Nov-24-2022_23-13,,,,https://list.am/en/item/18193562
House,Stone,85 sq.m.,1,3,1,,,Cosmetic Renovation,500 sq.m.,"Նիկոլայ Կոպեռնիկոսի փողոց 7, Քանաքեռավան","$93,000",USD,One-story 85 for saleSq. M. With a residential buildingTranslated from Armenian,Nov-24-2022_23-13,,,,https://list.am/en/item/16716632
Country House,Stone,600 sq.m.,2,2,3+,Available,Not available,No Renovation,540 sq.m.,"Քոչարի փողոց 12, Նոր Գեղի","$10,000",USD,"600 sq. M. In front of Nor Geghi (Banavan), Lusakert {Argel) military unit. Metered privatized land with a total area of 60 square meters with a half-built building, communal householdwith all the possibilities.Can you offer a boat exchange with me, with a surcharge...(Corolla, Camry, BMW, Mercedes)Lusakert, Argel, Arqel, Nor Gexi, Banavan, Nor Geghi:Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/15536331
House,Monolith,36 sq.m.,1,3,1,,,Cosmetic Renovation,,Kotayk › Byureghavan,"2,000,000 ֏",AMD,"A small house is for sale. It is in good condition, 12 m long, 3 m wide (36 m square), the bathroom and the toilet are inside, for questions call.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17693472
House,Stone,300 sq.m.,1,4,2,,,Partial Renovation,100 sq.m.,"Arinj 3th St., Առինջ գյուղ","$115,000",USD,"For sale, agents do not call. Heating system, permanent water, near the school, near the main road.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17948653
House,Stone,1000 sq.m.,3,3,2,,,Major Renovation,204 sq.m.,"Dzoraghbyur 1-st block, Dzoraxbyur","$152,000",USD,"Private house for sale in Dzoraghbyu. 3-storey stone building, with a living area of 204 square meters, capitally renovated, has a barbecue, a swimming pool, a huge plot of land, fruit trees.In case of questions related to the apartment or other property, please call the mentioned phone number.Sincerely, PROJECT real estate agency.Code 8012Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17847876
Country House,Stone,3000 sq.m.,1,3,1,Available,2 spots,Old Renovation,,Kotayk › Getamej,"$100,000",USD,"Private house for sale in Getamej village of Kotayk region (near Ptghni) 10 kilometers from the city of Yerevan. The whole area is fenced with bars and poplars. Has a large orchard. There is drinking water, three-phase electricity, gas supply. There are two swimming pools, a playground for children. Price is negotiable. Partial sale is possible.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17971248
Country House,Stone,195 sq.m.,2,3,1,Available,2 spots,Old Renovation,6400 sq.m.,Kotayk › Getamej,"$140,000",USD,"Private house for sale in Getamej village of Kotayk region (near Ptghni) 10 kilometers from the city of Yerevan. The whole area is fenced with bars and poplars. Has a large orchard. There is drinking water, three-phase electricity, gas supply. There are two swimming pools, a playground for children. Price is negotiable. Partial sale is possible.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16548629
House,Stone,3000 sq.m.,2,5,1,,,Partial Renovation,120 sq.m.,Kotayk › Abovian,"$150,000",USD,A beautiful country house in the village of Argel (Lusakert) It has an attached cabin. The plot has two-way entrance.The price is negotiableTranslated from Armenian,Nov-24-2022_23-13,,,,https://list.am/en/item/18189467
House,Stone,343 sq.m.,3,6,2,,,Old Renovation,810 sq.m.,Kotayk › Jrvezh,"$140,000",USD,"Code-12516: A three-storey private house is for sale. The house is old capitally renovated, there are 2 spacious living rooms, entrance hall, 3 bedrooms, 2 bathrooms, parking, separate boiler house, basement, beautiful yard, orchard, swimming pool.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17190506
House,Stone,415 sq.m.,2,8+,3+,,1 spot,Old Renovation,1623 sq.m.,Kotayk › Jrvezh,"$150,000",USD,"Code-14122: Two-storey private house is for sale in Jrvezh. There are several bedrooms, living rooms, kitchen, bathrooms, open spacious balconies, orchard, basement, garage - 37 sq. M., tonratun - 16 sq. M., shop - 13 sq. M.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16710543
House,Monolith,165 sq.m.,2,5,2,By agreement,Not available,Euro Renovation,524 sq.m.,Kotayk › Dzoraghbyur,"$160,000",USD,"Code-14119: Two-storey private house is for sale in Dzoraghbyur. It is a renovated, comfortable house. Euro windows, wooden interior doors, individual heating system, remote controlled gates are installed. There are 5 rooms, 2 bathrooms, a well-maintained yard, an orchard. For sale with furnitureTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16710496
House,Stone,354 sq.m.,2,5,2,,2 spots,Euro Renovation,1245 sq.m.,Kotayk › Proshyan,"$150,000",USD,"Code-12603: 2-storey private house for sale in Kotayk region, G. In Proshyan. The house is renovated, has a heating system, a basement all over the house. The house is fenced, has a garage of 59 sq. M., on which there is a building, a swimming pool of 27 sq. M., a separate building of 60 sq. M., which serves as a storage room. The yard is tiled.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16941733
House,Stone,180 sq.m.,3,4,1,,,Euro Renovation,500 sq.m.,Kotayk › Nurnus,"$42,000",USD,"3-storey stone house for sale in Nurnus country houses, renovated.The land area is 500 square meters.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18084898
House,Stone,200 sq.m.,2,5,1,Available,1 spot,Partial Renovation,200 sq.m.,"Andranik Zoravar St,","$70,000",USD,"It is located in Garni, not far from the road leading to Geghard, it has all the communal facilities, the house has two floors, the first floor is basement, the second floor is residential, the house also has a fruit garden (apples, pears, apricots, cherries, nuts, etc.), a garden and The total area of the house is 2300 square meters.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16421183
House,Monolith,780 sq.m.,2,8+,1,,,Major Renovation,,Kotayk › Jrvezh,"$300,000",USD,"Luxurious two-storey private house is for sale in Bagrand. The total area of the land is 780 square meters, of which 145 square meters is the first floor of the house, and the area of the house is 280 square meters, as it is in the basement of the whole house. All utilities are available. The property is also for sale together with the house.Code: GS-T275Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/15059829
House,Monolith,188 sq.m.,1,5,3+,Available,2 spots,Major Renovation,911 sq.m.,Kotayk › Balahovit,"$180,000",USD,"1-storey private house is for sale in Balahovit, the private house is capitally renovated, it is gasified, has a heating system, a summer kitchen in the yard. The house is for sale together with the property and equipmentCode 50166Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17645292
Country House,Stone,168 sq.m.,3,5,1,,,Cosmetic Renovation,,Kotayk › Nurnus,"$28,000",USD,"Three-storey summer house in Nurnus, the land area is 500 square meters.Urgent.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17461353
House,Stone,76 sq.m.,1,3,1,,,Old Renovation,1100 sq.m.,Kotayk › Artavaz,"$30,000",USD,"Տունը գազաֆիկացված է, ունի խմելու և ոռոգման ջուր։Առանձին հողատարածք 500 քմ. Գոմ և առանձին մառան։",Nov-24-2022_23-13,,,,https://list.am/en/item/17478794
Country House,Monolith,850 sq.m.,2,7,3+,,,Major Renovation,850 sq.m.,"Orbeli St, Tsaghkadzor","$820,000",USD,Tsakhadzor arandzatun,Nov-24-2022_23-13,,,,https://list.am/en/item/18163420
House,Stone,610 sq.m.,2,7,3+,,Not available,Partial Renovation,,"8-й микрорайон 28, Абовян","45,000,000 ֏",AMD,The building is located in the 8th microdistrict (3rd district) in the city of Abovyan. The total area is 610 square meters. The building is 3-storeyed with a basement on the first floor. The area of the building is 470 square meters. There are fruit trees in the garden. The building has four bathrooms that are completely ready.Call for details. Negotiable for real buyers. Also available for rentTranslated from Armenian,Nov-24-2022_23-13,,,,https://list.am/en/item/11828053
House,Stone,900 sq.m.,1,2,1,Available,Not available,Cosmetic Renovation,900 sq.m.,"Jrvezh 1-st street, Yerevan","$60,000",USD,"Private house for sale in Jrvezh(In the apple orchard)The land is fenced.The area of the residential building is 60 square meters.The land area is 900 square meters.Constant water, electricity, gas is right next to the fence.There is a chat room in front of the buildingbarbecue, fountain, about 50 fruit trees.THE IMPORTANCE OF LAND IS Horticultural.For more information call.Code R4037Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17547127
House,Stone,128 sq.m.,1,5,1,,,Euro Renovation,1000 sq.m.,Kotayk › Garni,"$38,000",USD,"Private house in Garni village electricity, drinking water, irrigation water has the possibility of gas Orchard 1000 m (negotiable) 100 m from the highwayTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17704631
House,Stone,225 sq.m.,1,1,1,Available,1 spot,Major Renovation,500 sq.m.,Kotayk › Getamej,"$75,000",USD,"3-story private house, each floor 75 square meters: 3 rooms, 1st floor garage, living room, kitchen, 2nd floor kitchen, living room, bathroom, 2 bedrooms, 3rd floor 1 bedroom. It has a basement, 2 FIREPLACES inside and outside the house.Kitchens: 2, bathrooms: 2 combined, bedrooms: 3, building type: Stone, condition: Capital renovation, floor: Laminate, bedroom floor: Laminate, windows: European windows, pipes: New, electrical wiring: New, metal tile: New European, external door: Iron, permanent water, electricity, individual heating system, cooling system: Air conditioner, roof repaired: Tin. For sale with propertyCode 21282Translated from Armenian",Nov-24-2022_23-13,"ELectricity, water supply, natural gas, sewerage","FIreplace, barbecue oven","FRidge, washing machine",https://list.am/en/item/14524028
House,Stone,272 sq.m.,2,7,3+,,,Euro Renovation,1000 sq.m.,Kotayk › Arinj,"$250,000",USD,"Code 1183the private house is renovated1st floor - spacious hall, kitchen, bathroom2nd floor - living room, 3 bedrooms, 2 bathroomsa heating system is installedfruit gardenthe house is fenced,possibility to expand the land area by another 1700 square meters for an additional feeTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/11749702
House,Stone,435 sq.m.,3,7,3+,,,Major Renovation,1250 sq.m.,"6th Street 1, Ptghni village","$350,000",USD,"Attic, fence, garden, summer kitchen, heating and cooling, capitally renovated, garage closed, billiard room, sewerage, refrigerator roomTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17559471
House,Stone,400 sq.m.,3,6,2,,,No Renovation,400 sq.m.,"Saralangi street, Abovyan","$185,000",USD,"Private house for sale in Abovyan, 3-storey, each room of 400 square meters, 90 square meters, negotiableTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17126473
House,Stone,950 sq.m.,2,6,2,,,No Renovation,702 sq.m.,"Լեոն Ֆուկոյի փողոց 1, Քանաքեռավան","$50,000",USD,"A newly built 5-room detached house with two floors and a basement is for sale, which is located on the 2nd street of Aragil ASK, Kotayk Region, Kanakeravan Community. The total area of the mansion is 248.1 square meters, garage: 19.1 square meters, swimming pool: 9.9 square meters, fence: 9 square meters, it is built on a plot of land of 702 square meters. The land has a flat geometric appearance. The house is in need of a major renovation. Sale: $50,000In order to buy and view the mansion, a service contract is signed. Please have an ID with you.Code 14662Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/13781504
House,Monolith,600 sq.m.,3,8+,3+,,,Designer Renovation,1000 sq.m.,Kotayk › Proshyan,"$550,000",USD,"Կոտայքի մարզի` Պռոշյան համայքում վաճառվում է 3 հարկանի նորակառույց առանձնատուն, Երևանի կենտրոնից 15 րոպե հեռավորության վրա (16 km) ։Շինության մակերեսը 600 քմ է:Հողատարածքի մակերեսը՝ 1000 քմ. ։Առանձնատունը կապիտալ նորոգված է, յուրաքանչյուր հարկը ջեռուցվում է առանձին կաթսայի միջոցով:1-ին հարկը բաղկացած է՝1 նախասրահ1 լոգարան և սանհանգույց1 հյուրասենյակ1 խոհանոց1 աշխատասենյակառկա է նաև բուխարի1 խորդանոցփակ ավտոկայանատեղի նախատեսված 2 մեքենայի համար մուտքով դեպի տունբացօթյա ավտոկայանատեղի նախատեսված 15 մեքենայի համար2-րդ հարկում`4 ննջասենյակ, որից երկուսն ունեն բաց պատշգամբ, մեկն անհատական լոգասենյակ և զգեստասենյակ3-րդ հարկում՝Մանսարդային հարկ:Ժամանցի կամ հանդիսությունների սրահ, սանհանգույցԱռանձնատունը շրջապատում է բարեկարգ, ընդարձակ և կանաչապատ այգին, դեկորատիվ ծառեր: Իսկ այգու մեջ ""խորովածանոց""ն է, որտեղ առկա է նաև զրուցարան, ամառային խոհանոց, շոքեբաղնիք և սանհանգույց:Քաղաքի աղմուկից հեռու գտվող այս առանձնատունը հրաշալի վայր է հանգիստը վայելելու համար:️Հայտարարության համար՝ 12425432Սիրով՝ Asatryan Consulting թիմ՝*There is a 3-storey newly built private house for sale in the Proshyan community of Kotayk region, 15 minutes away from the center of Yerevan (16 km)The building area is 600 sqm.The area of the land is 1000 sqm.The house is fully renovated, each floor is heated by a separate boiler.The 1st floor consists of:1 lobby1 bathroom1 living room (There is a fireplace)1 kitchen1 office1 closetClosed parking for 2 cars with entrance to the houseOutdoor parking for 15 carsOn the 2nd floor4 bedrooms, two of which have an open balcony, one bedroom have a private bathroom and dressing room3rd floor:atticEntertainment or banquet hallThe house is surrounded by a well-maintained, spacious, green garden, where fruit and decorative trees are planted. In the garden, there is a ""barbecue"", also there is a chat room, a summer kitchen of 150 sqm, a storage room, a boiler room, and a bathroom.Away from the hustle and bustle of the city, this mansion is a great place to relax.• Kind Regards #AsatryanConsulting teamԼավագույնը Ձեզ համար!Best for you!Лучшее для вас!Lo mejor para ti!Le meilleur pour vous!最适合您！",Nov-24-2022_23-13,,,,https://list.am/en/item/12425432
