Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Elevator,Parking,Room Area,Balcony,Floor,Links
Country House,Stone,1000 sq.m.,3,6,1,,,Major Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"150,000 ֏ daily",AMD,"Code 0141:ATTENTION!Read the full description of the house, the requirements, the rules of prepaymentLuxury villa for daily rent in Dilijan150,000 AMD per day on Fridays and Sundays - 170,000 AMDWineryCinema hallSaunaSwimming poolBonfire sectionOpen balconies with forest view5 bedrooms6 bathroomsLiving room:BarbecueInternetProvisions:+ Entrance 13.00 Exit 12.00+ In case of staying till the evening, the price of 1 day is charged+ ADVANCE is required to book the house.+ In case of cancellation of your reservation, the prepayment is NOT refundable+ Other prepayment cases are subject to consideration (for example, canceling one house and booking another house through us)+ After submitting the prepayment coupon (Viber, WhatsApp or other version) BOOKING IS CONFIRMED.Dear customer, to get acquainted with all our announcements, click on NAME.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Code Kod 0141Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/13274575
House,Stone,200 sq.m.,2,6,2,,,Designer Renovation,,8+,Yes,No,Not included,By Agreement,Tavush › Dilijan,"60,000 ֏ daily",AMD,Code 0055 Private house for daily rent in the center of Dilijan.5 bedrooms2 bathrooms.Spacious living room.Fireplace...Designed for 12 - 14 peopleTranslated from Armenian,Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/18230702
Townhouse,Stone,360 sq.m.,2,4,2,,Not available,Major Renovation,,8+,Yes,No,Not included,By Agreement,Tavush › Dilijan,"140,000 ֏ daily",AMD,"Կոդ 0017 Օրավարձով է տրվում շքեղ առանձնատուն Դիլիջանում,Ունի 4 ննջասենյակ, հյուրասենյակ, 3 սանհանգույց, խոհանոցշոգեբաղնիք,լողավազան,Մեծ տաղավար՝ 25-30 անձի համարՏարբերակում խստիվ արգելվում է ծխելը։Առանձնատունը գիշերակացով ընդունում է 13 անձ։",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/14484133
House,Stone,100 sq.m.,2,5,1,,,Major Renovation,,8+,Yes,No,Not included,By Agreement,Tavush › Dilijan,"60,000 ֏ daily",AMD,"Code: 0341:House for daily rent in Dilijan with all communal facilities, pavilion, barbecue, dishes.Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/15446491
Country House,Stone,500 sq.m.,2,4,1,Available,Not available,Euro Renovation,,7,Yes,No,Included,By Agreement,Tavush › Dilijan,"35,000 ֏ daily",AMD,"3 ննջարան, 2-ը առաջին հարկում, 1-ը՝ 2-րդ,հյուրասենյակ,փոքրիկ խոհանոց,սպասք, անկողնային պարագաներ,մանղալ, խորովածի շիշ,բակում առկա է փոքրիկ տաղավար,Տանը գիշերակացով կարող է մնալ մինչև 7 անձ:Տունը գտնվում է Դիլիջանի կենտրոնում:Check in (մուտք) – 14:00Check out (ելք) – 12:00Գինը փոփոխական կախված օրերի, սեզոնի և անձերի քանակից:",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/14178492
Country House,Stone,1000 sq.m.,1,3,1,Available,Not available,Euro Renovation,2000 sq.m.,5,Yes,No,Included,By Agreement,Tavush › Dilijan,"30,000 ֏ daily",AMD,"A luxurious house is for daily rent in Dilijan.The house is located on the river bank.• 2 bedrooms• 1 bathroom• Pavilion (up to 15 people)• Living room• Furniture, appliances• Tableware, bedding• Beautiful gardenThe river flows directly through the house, where there is a small pavilion.Super magnificent nature.Check in - 14:00:Check out - 12:00:Price is negotiable depending on the number of weeks, people and days.Call in advance to make a reservation.Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/14178554
Country House,Wooden,2000 sq.m.,3,3,3+,Available,3 or more spots,Major Renovation,3000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"200,000 ֏ daily",AMD,"A villa for daily rent in Dilijan, Gosh village.* 5 bedrooms* 3 bathrooms* Living room with fireplace* Game room* Steam bath (sauna)* Outdoor swimming pool* Outdoor and heated jacuzzi* Pavilion (23-30 persons)* Mangal (barbecue bottle)* Campfire sectionCheck in (entrance) – 14:00Check out - 12:00The house can accommodate 13-15 people with overnight accommodation, 25-30 without overnight accommodation.FRIDAY-SUNDAY price is different.Translated from Armenian",Nov-24-2022_23-02,"TElevision, internet, swimming pool, fireplace, barbecue oven, gazebo, alarm system","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer",,,,,,https://list.am/en/item/14456586
House,Stone,80 sq.m.,2,2,2,,,Cosmetic Renovation,600 sq.m.,,,,,,Tavush › Koghb,"20,000 ֏ monthly",AMD,"Own house for rent in Kokhb, 10th str. 7 houses, newly renovated bathroom, tiled floor, inside the house. There is also a summer bathroom outside. Necessary appliances are available: Washing machine, TV, kettle, hot and cold water, necessary furniture, dishes. For winter heating: Indoor heating system (catyol) 2 storerooms in the size of the house (40 square meters) Fruit garden, plot. All conditions are available for immediate occupancy.Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/18195788
Country House,Bricks,100 sq.m.,1,3,1,,,Designer Renovation,300 sq.m.,,,,,,"Kalinini street, Dilijan station","50,000 ֏ daily",AMD,"We rent one common floor with 3 bedrooms, bathroom, kitchen, living room, yard, besedka. Designed for up to 8 people.The cost is 50,000 drams, in case of booking two more days we will provide 45,000 one day with a discount. Discounts depend on the number of people։ days.Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17362453
House,Bricks,100 sq.m.,1,3,1,,,Designer Renovation,300 sq.m.,,,,,,"Զորավար Անդրանիկ փողոցի 2-րդ փակուղի 15, Դիլիջան","40,000 ֏ daily",AMD,"We rent one common floor with 2 bedrooms, 1 children's room, bathroom, kitchen, living room, yard, besedka. Designed for up to 7 people.The cost is 40,000 drams, in case of booking two more days 35,000 drams.Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17362661
House,Stone,240 sq.m.,3,5,2,Available,3 or more spots,Major Renovation,800 sq.m.,8+,Negotiable,No,Included,By Agreement,Tavush › Dilijan,"50,000 ֏ daily",AMD,"I suggest coming to Dilijan to spend summer days with family and friends in a warm environmentSpend happy and pleasant holidays in a spacious, newly renovated 6-room apartment, which is provided with all the necessary utilities.Heating boiler (system)Hot and cold standing waterTV, WI-FI6 bedrooms (beds for 18 people, linen and warm bed)1 living roomFireplace:Open balcony with the view of Dilijan's magical forests and mountains The pleasure of starting the morning enjoying coffee on the balcony is guaranteed1 kitchen (there is a refrigerator, stove, dishes)BathroomPavilion, barbecuePlayground, Table tennisSwimming pool!Parking in the yardWe look forward to seeing youFor reservation details, you can write a personal letter or call the following phone numbers:# guesthouse# in the rest of DilijanCode Kod 220Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/16376577
House,Stone,100 sq.m.,1,3,1,,,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"45,000 ֏ daily",AMD,A guest house is for daily rent in Dilijan2 bedrooms 1 living roomOpen balconyAccommodation for 5-6 peopleThe house is provided with all utilitiesNecessary dishes and linen are availableSummer pavilionBeautiful yardBarbecuePlayground for childrenFor more information callCode 50226Translated from Armenian,Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17784239
House,Stone,300 sq.m.,3,5,2,,,Major Renovation,700 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Ijevan,"90,000 ֏ daily",AMD,"* Private house for daily rent in Ijan.* The house has 4 bedrooms,* 1 large living room, kitchen,* 2 bathrooms newly renovated,* Luxurious large gardens.* The guest house is furnished with all amenities.* Heating by bax system.* Has a large closed parking lot.* There is an open-air pavilion outside.* fireplace.* barbecue.* Has a sauna and a swimming pool.* Open balcony.* Accommodation for 8-10 people is planned.Code 50035Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17356055
House,Stone,100 sq.m.,1,3,1,,,Designer Renovation,500 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"40,000 ֏ daily",AMD,"House for daily rent in DilijanThe house has 2 bedrooms. 1 living room6-8 people are staying overnight.Equipped with all utilitiesNecessary dishes and linen are availableIt is furnished with furniture and appliancesThe advantage of the geographical location of the house is that it is located in the central part of historical and cultural monuments (Haghartsin Monastery, * Goshavank, Parz Lake, Jukhtak Monasteries)Call in advance to make a reservationThe cost depends on the number of daysCode 50070Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17371459
House,Stone,300 sq.m.,2,8+,3+,,,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"70,000 ֏ daily",AMD,"Loft style house in DilijanEquipped with all utilitiesNecessary dishes and linen, towels, other hygienic accessories,5 bedroomsLarge balconyWiFi:The guest house also offers: Welcoming guests, departure from the airport, excursions to the mountains of Dilijan.12 people are staying overnightBook in advanceCode 50203Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17734401
House,Stone,200 sq.m.,2,5,2,,,Designer Renovation,1000 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"70,000 ֏ daily",AMD,Private house for daily rent in the center of Dilijan.5 bedrooms 2 bathrooms.Spacious living room.Fireplace...For details you can call the mentioned phone number...It is also given for a long term...There are necessary dishes and linenCode 50094Translated from Armenian,Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17384871
House,Stone,50 sq.m.,2,3,1,,,Designer Renovation,,8+,Yes,No,Included,By Agreement,"Getapnya street, Dilijan station","30,000 ֏ daily",AMD,"* House for daily rent in Dilijan.* The house is provided with all utilities,including constant hot and cold water, bedding, necessary dishes* The house can accommodate 8-10 people at a time.* There is a tonratun next to the house, where your own hand-made barbecue will make the rest more complete.* The advantage of the geographical position of the house is that it is located in the central part of the historical and cultural monuments (Haghartsin monastery, * Goshavank, Parz lake, Jukhtak monasteries)Code 50004Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17323696
House,Stone,800 sq.m.,3,6,3+,,,Designer Renovation,,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"140,000 ֏ daily",AMD,Spend your vacationComfortable three-storey private house in DilijanTo enjoy your complete rest.The house can accommodate 10-12 people* Sauna* Swimming pool (inside or outside the house)* 4 - bedroom* 3 - bathroom* 2 - Living room where there is a fireplace* Summer kitchen with all its amenities* WI-FI-internetGreat for spending fun with family or friends.The daily fee varies depending on the number of daysCode 50002Translated from Armenian,Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17323177
House,Stone,200 sq.m.,2,5,2,,,Designer Renovation,500 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"60,000 ֏ daily",AMD,"House for daily rent in Dilijan, near the road leading to Haghartsin MonasteryEquipped with furniture and appliancesEquipped with all utilitiesSummer pavilionBarbecueGarden,Living room, kitchen on the 1st floor2nd floor, 3-bedroom, 1-living room.10-12 people planned for the night.Code 50064Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17366764
House,Stone,400 sq.m.,3,8+,3+,,,Designer Renovation,,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"70,000 ֏ daily",AMD,"A three-storey private house is for daily rent in Dilijan1st floor large living room. Large corridor 1 bedroom. Kitchen. Bathroom.2nd floor, large corridor, 4 bedrooms. 3 bathrooms. Open balcony.3rd floor 2 bedrooms. Large corridor. Bathroom.Equipped with all utilitiesNecessary dishes and linen are available12-16 people planned for the nightBarbecueSwimming poolTennis tableSummer pavilion / 15 people /Large yardParking for 4 carsCode 50021Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17338461
House,Stone,300 sq.m.,2,4,1,,,Designer Renovation,,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"40,000 ֏ daily",AMD,A private house is for daily rent in Dilijan10 people for overnight staySummer pavilion for 15 people3 bedrooms 1 large living roomBarbecueCall for detailsCode 50205Translated from Armenian,Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17734854
House,Stone,100 sq.m.,2,4,1,,,Designer Renovation,500 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"40,000 ֏ daily",AMD,A private house is for daily rent in Dilijan.3 bedrooms. 1 living room.Equipped with property and equipment.BAXI- heating system.WI-Fi.Summer pavilion.Large yard.It has an open balcony.Code 50013Translated from Armenian,Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17333408
House,Stone,350 sq.m.,2,8+,3+,,,Designer Renovation,700 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"120,000 ֏ daily",AMD,"A two-storey newly opened private house is for daily rent in Dilijan,The house is located 2 km away from the city center.The house is fully renovated in accordance with the latest European standards, the interior has a unique design.The area of the house is green,In the yard there is a luxurious pavilion with all its amenities,There is also a security system in the area.On the first floor there are two bedrooms, a living room, a kitchen, a bathroom.On the second floor there are three bedrooms, a living room, a kitchen, two bathrooms.Both floors have a balcony with a beautiful view.The summer house has parking for four cars.The whole house is given on separate floors.Code 50001Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17322419
House,Stone,100 sq.m.,2,2,1,,,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"25,000 ֏ daily",AMD,"A private house is for daily rent in DilijanEquipped with all utilitiesNecessary dishes and linen are available1 bedroom 1 living roomGarage on the 1st floor2nd floor, 1 bedroom, 1 living roomsummer pavilion.Large yardOvernight for 2-3 peopleFor more information callCode 50204Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17734419
House,Stone,150 sq.m.,2,3,1,,,Designer Renovation,500 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"40,000 ֏ daily",AMD,"A private house is for daily rent in DilijanAccommodation Designed for 5 -6 people,1 Living room,2 bedrooms1 bathroom,Kitchen with all amenities,Mangal,Yard with a unique view.Book in advanceCode 50109Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17466333
House,Stone,280 sq.m.,3,8+,3+,,,Designer Renovation,500 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"80,000 ֏ daily",AMD,"A three-storey 11-room / 8-bedroom / private house is for daily rent in the beginning of Dilijan city, near the bends of Dilijan, near the forest, away from the noise of the city, with a wonderful view.Has a large guarded parking lot.Designed for family հանգիստ collective vacations.BAXI system is installed.It is provided with hot-cold constant water,with electrical engineering.The house can accommodate 18 people, of which 4 on the first floor, 10 on the second floor, 4 on the third floor.The number of children is included in the mentioned number.On the ground floor there are 2 double bedrooms, a kitchen, a living room with a fireplace (fireplace), a bathroom. There is a sofa bed in the living room. There are washing and dishwashers in the kitchen. It is provided with essential items and dishes.On the second floor there are 4 bedrooms, one living room with kitchen, bathroom. There is a sofa bed in the living room. 2 of the bedrooms have three beds, 2 - double. It is provided with essential items and dishes. The second floor can accommodate 8-10 people.On the third floor there are 2 bedrooms, one living room, a bathroom. There is a sofa bed in the living room. The bedrooms are double. It is provided with essential items.There are 2 chat rooms-barbecues next to the private house, one of which is surrounded by nature. Each for 20-25 people, with all the accessories for the barbecue.The house is also given with separate floors,Satellite TVs are installed on all floors.The cost depends on the number of daysArndznatun / oravardz / home for rent / аренда / посуточно / безбняк / առանձնատուն / օրավարձ /Code 50010Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17325623
House,Stone,120 sq.m.,1,4,2,,,Designer Renovation,150 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"60,000 ֏ daily",AMD,4-room private house is for daily rent.Equipped with all utilities.There is a necessary tableware and linenIndividual heating system.WI-FI.3 bedrooms.1 living room.2 bathrooms.Parking for 3 cars.Garden. Mangal. Summer pavilionThe cost depends on the number of daysCode 50007Translated from Armenian,Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17324615
House,Stone,170 sq.m.,2,4,3+,,,Designer Renovation,2000 sq.m.,8+,Yes,No,Included,By Agreement,"Parz Lich street, Dilijan station","65,000 ֏ daily",AMD,A private house is for daily rent in DilijanEquipped with all utilities3 bedrooms 1 guest roomThe 2 bedrooms have their own bathroomNecessary dishes and linen are availablesummer pavilionSummer kitchenFireplace:Sift:For more information callCode 50183Translated from Armenian,Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17659713
House,Stone,200 sq.m.,3,8+,3+,,,Designer Renovation,1000 sq.m.,8+,Yes,No,Included,By Agreement,Tavush › Dilijan,"100,000 ֏ daily",AMD,"Beautiful two-storey private house in Geghatsil Dilijan2nd floor, 2 bedrooms, 1 living room, 1 large LUXE room / where there are 2 bedrooms /2nd floor 4 bedrooms. Open balconyEquipped with all utilitiesNecessary dishes and linen are availableFor more information callCode 50221Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17757077
House,Stone,120 sq.m.,2,4,1,,,Designer Renovation,,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"40,000 ֏ daily",AMD,"The house has 3 bedrooms,1 living room,Equipped with all utilities,including constant hot and cold water, gas.Necessary utensils and barbecue bottles.BAXI heating system is installed.There is a garden next to the house.There is a pavilion on the river bank, where there is lighting, which will allow you to spend your vacation until late in the evening in the lap of nature.One of the peculiarities of the geographical position of the house is that it is located in the central part of the roads of Parz Lake, Haghartsin Monastery and Goshavank.Here are all the necessary conditions for rest.We look forward to seeing you.Book in advance.The cost depends on the number of days.Code 50005Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17323725
House,Stone,650 sq.m.,1,3,2,,,Designer Renovation,,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"60,000 ֏ daily",AMD,"A holiday house is for daily rentDesigned for up to 14 people,accommodation for 8 people.Bed Linen and Towels Kitchen Appliances, Kitchenware •Individual heating systemparking •security system •well-maintained green yard •barbecue, necessary accessories, •Summer pavilion waterfalls •.1st bedroom: 1 large double bed, bathtub,2nd bedroom - 1 large double bed, - living room:1 oversized sofa bed, living room2 -1 sofa bed.Code 50008Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17324618
House,Stone,120 sq.m.,2,5,1,,,Designer Renovation,500 sq.m.,2,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"70,000 ֏ daily",AMD,"A private house is for daily rent in Dilijan.Designed for 10-12 people,Equipped with all utilitiesLiving room, kitchen, 4 bedrooms, 2 bathrooms, large balcony,PavilionBlood heat heater,wi-fi:Address: (Takhta district)Call for more information.Price is negotiable.Book in advanceThank you, we will look forward to it.Code 50012Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17332285
Country House,Stone,1000 sq.m.,2,4,2,,,Designer Renovation,700 sq.m.,,,,,,Tavush › Dilijan,"130,000 ֏ daily",AMD,"3 bedroomsMangal,Fireplace,They will.The house can accommodate up to 10 people with accommodation.Price depends on the contract, week, days քանակ number of people.Spend your vacation in beautiful Dilijan.Code SA-1415Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/12589053
Townhouse,Stone,600 sq.m.,3,6,3+,,,Designer Renovation,,8+,Yes,No,By Agreement,By Agreement,Tavush › Dilijan,"55,000 ֏ daily",AMD,Code 0224 HOTEL IN DILIJANThe guest house is newly openedAll rooms have a separate bathroom and necessary hygiene items.The guest house has 5 rooms.Dining room and 2 bedrooms...The price is negotiableTranslated from Armenian,Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17753401
House,Stone,1250 sq.m.,2,5,2,,1 spot,Partial Renovation,800 sq.m.,5,Yes,No,By Agreement,6 months,Tavush › Dilijan,"25,000 ֏ daily",AMD,"It is for daily rent, it has all the facilities, it is located in Teghut, in the lap of beautiful nature, all the rooms are furnished. Are intended for 10-13 personsTranslated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17730171
House,Stone,50 sq.m.,3,2,1,,,Euro Renovation,1200 sq.m.,,,,,,"Parz Lich street, Dilijan station","15,000 ֏ daily",AMD,"The guest house is capitally renovated. Constant hot-cold water. Has a parking lot, barbecue, garden pool, pavilion. Has all the amenities.Code Kod 222Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/15613578
Townhouse,Stone,100 sq.m.,2,3,1,,,Major Renovation,,,,,,,"Orjonikidze Street, Dilijan station","35,000 ֏ daily",AMD,"A two-story cottage is for rent in Dilijan, on Yeghevniner street, it has all the amenities for a full vacation. The second floor offers a wonderful view of the beautiful nature of Dilijan.In case of questions, call, viber, whatsupTranslated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/18174961
House,Stone,195 sq.m.,2,5,1,,,Euro Renovation,1000 sq.m.,,,,,,"Orjonikidze Street, Dilijan station","5,000 ֏ daily",AMD,"For daily rent, 5000 AMD per person.The road to the house is paved.The house has:1. A large garden with a barbecue to enjoy the fresh air, a large besetka, a grassy area for children, a barn, a swing, a large children's pool.2. The house is completely given to the tenant3. Parking lot for 4-5 cars.4. The house is capitally renovated, is heated by bax system, there is wifi internet, spacious rooms with quality European beds, there is also a cot (crib), kitchen utensils, etc.(exit) 12. 00 (entrance) 13. 00:Сдается полностью дом. In the house 5 rooms, 4 bedrooms and 1 large guest and sanuzel. On-board all communal amenities, Baxi heating system, is wi-fi. It is also a park. For details, call the indicated telephone. Заезд в 14.00 выезд в 12.00.В in the case of a good guest you owe a fortune extra.Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/14873041
Country House,Stone,1000 sq.m.,2,5,3+,Available,3 or more spots,Designer Renovation,,8+,Yes,Yes,By Agreement,By Agreement,Tavush › Dilijan,"130,000 ֏ daily",AMD,"Luxury Villa DilijanumԱնցկացրեք Ձեր կատարյալ հանգիստը ԴիլիջանումՇքեղ օրավարձով առանձնատուն Հրաշալի տեսարանովՎարձակալեք /օրավարձով կամ երկարաժամկետ/Առանձնատունը ունի բոլոր կոմունալ հարմարությունները՝• ընդարձակ հյուրասենյակ,• խոհանոց/ սառնարան, լվացքի մեքենա/• 4 սանհանգույց և լոգասենյակ,• 4 ընդարձակ ննջասենյակներ• ընդարձակ պատշգամբ• ջեռուցման համակարգ, մշտական տաք և սառը ջուր• ինտերնետ /Wi-Fi/• կաբելային հեռուստատեսություն• տաղավար, մանղալ,• մեծ ավտոկայանատեղԱռանձնատունը հարմար է մինչև 12-16 հոգու հանգստյան օրերը անցկացնելու համար:Մեկ օրվա վարձակալությունն արժե 150.000 ՀՀԴ:Երկարաժամկետ վարձակալության դեպքում արժեքը սակարկելի է:Ամրագրելու և լրացուցիչ տեղեկությունների համար զանգահարել նշված հեռախոսահամարով:Նկարագիրը:•1) 4 ննջասենյակ երկտեղանոց չափի •մահճակալներով (3x180x200, 1x200x200) + անկողնային սպիտակեղեն•2) 1 լրացուցիչ մահճակալ (բազկաթոռի մահճակալ) + անկողնային սպիտակեղեն•3) 3 Լոգասենյակներ տաղավարով և լվացարանով + սրբիչներով•4) Սանհանգույցներ (հիգիենիկ ցնցուղ) և լվացարան•5) Լիովին հագեցած խոհանոց առաջին կարգի ժամանակակից տեխնիկայով (Bosch) - աման լվացող մեքենա, գազ / էլեկտրական վառարան, վառարան, արդյունահանող բուխարի, սառնարան առանձին սառնարանով, սեղան ՝ 8 հոգու համար, լավագույն որակի խոհանոցային պարագաներ (հյութիչ, թեյնիկ, թափահարիչ), սպասք•6) Հյուրասենյակ `բազմոց, հեռուստացույց, սեղան 12-16 հոգու համար•7) Մեծ պատշգամբ ֆանտաստիկ տեսարաններով (սեղան / 4 աթոռ)•8) Լվացքի և արդուկի համար նախատեսված սենյակ,Լվացքի մեքենա (Bosch)•9.) Հյուրասենյակում բուխարի` Մեծ սեղաններ•10) Տրամադրվում է մանկական ներքնակ•11) Կայանատեղի",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/14549084
House,Stone,35 sq.m.,1,2,1,,,Designer Renovation,,,,,,,Tavush › Dilijan,"5,000 ֏ daily",AMD,"House for rent for 1-5 people. It is provided with hot and cold water. For questions, call the indicated number. There is a pavilion, a grill. 1 person - 5000 dramsTranslated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17670099
House,Stone,35 sq.m.,1,2,1,,,Designer Renovation,,,,,,,Tavush › Dilijan,"25,000 ֏ daily",AMD,"House for daily rent, c. In Dilijan, renovated in design style. Designed for 1-5 people. It is provided with hot առը cold water. It is furnished. There is a pavilion, a barbecue. It is located 1 km away from the famous monument Mimino (on the highway to Ijan) There is a supermarket nearby. 1 person - 10000 AMD (double room) 2 persons - 15000 AMD (double room) 3 persons - 20000 AMD 4 persons - 25000 AMD (whole house) If you have any questions, callTranslated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17668634
Townhouse,Stone,120 sq.m.,2,5,2,,,Euro Renovation,,8+,Yes,No,Not included,By Agreement,Tavush › Dilijan,"60,000 ֏ daily",AMD,"Code 0047 Private house for daily rent in Dilijan city.Designed for 10-12 people, has all the utilities:Living room, kitchen, 4 bedrooms, 2 bathrooms (bathroom), large balcony, pavilion.Solar heater, wi-fi.Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/18117832
House,Stone,100 sq.m.,2,6,1,Available,2 spots,Designer Renovation,,8+,Yes,No,Not included,By Agreement,Tavush › Dilijan,"65,000 ֏ daily",AMD,"Code 0062 A two-story stone house is for daily rent in Dilijan.Furnished rooms, large balcony, large yard, WiFi, constant hot/cold water, cot, dishes, linens, towels, other hygiene items, kitchen, breakfast, lunch if desired.The guesthouse also offers airport pick-up and drop-off, excursions to the mountains of Dilijan.The guest house is suitable for groups of 12 people.Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/18285907
House,Stone,64 sq.m.,1,3,2,,,Major Renovation,150 sq.m.,,,,,,Tavush › Dilijan,"25,000 ֏ daily",AMD,"The house has all the utilities, such as dishes, washing machine, parking, pavilion, wifi.Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/17433261
House,Stone,155 sq.m.,2,3,1,Available,3 or more spots,Euro Renovation,3150 sq.m.,8+,Yes,Yes,Included,By Agreement,Tavush › Dilijan,"35,000 ֏ daily",AMD,"Own house for daily rent in Dilijan. The house is renovated in euro. Provided with all utility conditions.Is available.3 bedrooms1 living room1 bathroomPermanent hot and cold water, gas.Necessary dishes, barbecue bottles, bedding.Adjacent to the house is a pavilion located on the bank of the river, where there is a campfire area. Firewood is provided free of charge.We are waiting for our guests who are real nature lovers.Translated from Armenian",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/18015419
Country House,Bricks,150 sq.m.,1,3,1,Available,Not available,Major Renovation,2000 sq.m.,6,Yes,No,Included,Without prepayment,"Սայաթ Նովա փողոց 63, Դիլիջան","35,000 ֏ daily",AMD,"Own house for daily rent, the house is completely renovated, it has constant cold and hot water, the heating system is a gas boiler, it has a parking space, there is a pavilion for 10-15 people in the yard, the daily rent is AMD 35,000. We are waiting with love.Translated from Armenian",Nov-24-2022_23-02,"TElevision, internet, barbecue oven, gazebo","FRidge, stove, microwave, washing machine, water heater, iron, hair dryer",,,,,,https://list.am/en/item/16439481
House,Bricks,800 sq.m.,2,4,2,,,Partial Renovation,600 sq.m.,4,Yes,Yes,By Agreement,1 month,"Kalinini street, Dilijan station","150,000 ֏ monthly",AMD,"Сдаётся дом в центральной улице в Дилжане. Рядом все коммуникации. Школа, дет сад, муз школа, спорт школа, Дилжанский центральный парк...",Nov-24-2022_23-02,,,,,,,,https://list.am/en/item/18253719
