Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Links
House,Stone,325 sq.m.,2,4,2,Major Renovation,1900 sq.m.,"1-ին փողոց, Բջնի","$1,350 monthly",USD,"Նոր Տարվա օրերին տունը տրվում է Դեկտեմբերի 31ից միմչև Հունվարի 6ը ներառյալ, արժեքը 480000 դրամГазовое отопление, wifi, камин, 2 гостиницы, 2 кухни, 4 спальных комнаты",Dec-15-2022_21-34,Available,3 or more spots,,,8+,Yes,Yes,Not included,By Agreement,https://list.am/en/item/18414912
House,Stone,240 sq.m.,2,4,3+,Major Renovation,800 sq.m.,"Բագրևանդի փողոց, Երևան","$2,500 monthly",USD,"Private house for rent on Bagrevand street. It is completely renovated, has an individual heating system. There is a large yard, a garage. For more information call:Translated from Armenian",Dec-15-2022_21-34,Available,3 or more spots,,,6,Yes,Negotiable,Not included,By Agreement,https://list.am/en/item/18587765
House,Stone,400 sq.m.,2,4,3+,Euro Renovation,400 sq.m.,Kotayk › Dzoraghbyur,"$1,500 monthly",USD,"A two-story detached house is for rent in Dzoraghbyur, the total area of the land is 400 square meters, and the building area is 200 square meters, it is completely renovated, it has three bedrooms, three bathrooms, a fireplace, a garage, a yard, a solar heating system.Call Edgar for detailsTranslated from Armenian",Dec-15-2022_21-34,Not available,2 spots,,,6,Yes,Yes,Not included,1 month,https://list.am/en/item/18583453
House,Stone,300 sq.m.,2,4,3+,Euro Renovation,300 sq.m.,Kotayk › Arinj,"$2,500 monthly",USD,"Two-story private house for rent in Arinj, P. In Sevak district. The surface of the land is 300 square meters, and the building is 180 square meters. It is renovated in Euro, heated with a baxi system and has an air conditioner. The house has internet (Wi-Fi), a dishwasher (посудомойка) and a garage. It is provided with the necessary furniture and appliances. For more information call. EdgarCode 1692Translated from Armenian",Dec-15-2022_21-34,Available,1 spot,,,6,Yes,Yes,Not included,1 month,https://list.am/en/item/18444562
House,Stone,180 sq.m.,2,5,1,Major Renovation,400 sq.m.,Kotayk › Nor Hachen,"300,000 ֏ monthly",AMD,"Доброго времени суток, вашему вниманию предлагается дом со всеми удобствами и комуникациями!В доме имеется 4 спальни, зал, хол, кухня и санузел.Дом находится под круглосуточном видео наблюдением и сигнализацией.Имеется летняя кухня 40 кв. М. Со всей комуникацией.Участок 400кв. М. С большим количеством плодовых деревьев есть так же поливная вода.Дом находится в 15-и минутах от Еревана!",Dec-15-2022_21-34,Available,Not available,"Television, internet, barbecue oven, alarm system","Fridge, stove, washing machine, water Heater, iron",8+,Yes,No,Not included,2 months,https://list.am/en/item/18609207
House,Stone,800 sq.m.,2,4,2,Major Renovation,200 sq.m.,"Պարույր Սևակի փողոց 13, Քասախ","$2,700 monthly",USD,The mansion is located in KasakhThe total area is 800 square metersThe area of the building is 200 square metersCapital renovatedFurnishedThe house has 2 floors4 roomsCode e-133Translated from Armenian,Dec-15-2022_21-34,Available,3 or more spots,,,5,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/18466867
Country House,Stone,1660 sq.m.,2,4,1,Euro Renovation,1400 sq.m.,Kotayk › Aghveran,"100,000 ֏ daily",AMD,"A private house on the river bank in Aghveran is for daily rent. It is furnished, all amenities are available. Dishes, stove, stove, grill, TV, wifi, heating, sauna, 2 bedrooms for 4 people, playground, parking, large fenced garden.! Every day except Monday, when you rent the private house, you will receive a gift for spending 1 hour in the mineral hot water pool!Translated from Armenian",Dec-15-2022_21-34,Available,3 or more spots,"Television, internet, swimming pool, sauna, fireplace, barbecue oven, gazebo","Fridge, stove, water Heater",8+,Yes,Yes,Included,By Agreement,https://list.am/en/item/18689522
House,Stone,120 sq.m.,2,3,1,Cosmetic Renovation,500 sq.m.,"Այգեգործական փողոց 3, Ձորաղբյուր","400,000 ֏ monthly",AMD,"Сдается только что отремонтированный двухэтажный дом в Дзорахбюре (6 км от Еревана) Со всеми удобствами. Интернет, бассейн, гриль, мангал, ухоженный сад, где растут розы и фруктовые деревья. Рядом магазины и хорошие соседи.",Dec-15-2022_21-34,Available,2 spots,"Television, internet, swimming pool, barbecue oven, gazebo","Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",6,Yes,Yes,Not included,By Agreement,https://list.am/en/item/18617262
House,Monolith,750 sq.m.,3,6,3+,Major Renovation,1200 sq.m.,Kotayk › Arinj,"$7,000 monthly",USD,"A luxurious and unique private house is for rent in Arinj village.• The house consists of 3 floors.On the 1st floor there is a spacious living room with a fireplace, kitchen, 1 bedroom, 1 bathroom,2nd floor: 4 bedrooms, 4 bathrooms, 2 balconies.Basement: Recreation room, exercise room, cinema room.• The house has been completely renovated, European windows have been installed.• Heating is carried out through an individual system.• The floors are covered with high quality laminate.• Bathrooms are fully tiled and equipped with quality sanitary ware.• There is a barbecue in the yard, a chat room for 20 people.• The house has a parking space for 10 cars.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service commission: 50% of the monthly feeTranslated from Armenian",Dec-15-2022_21-34,By agreement,3 or more spots,,,8+,Yes,Yes,Not included,1 month,https://list.am/en/item/18502175
House,Stone,350 sq.m.,2,6,3+,Euro Renovation,9650 sq.m.,"Զովունի 16 փողոց, Զովունի","$2,200 monthly",USD,"A luxurious private house is for rent in Zovuni.• There is a separate sauna (shock bath), bathroom, swimming pool, summer kitchen, chat room in the yard.• On the first floor there is: Kitchen, living room, bathroom.• On the 2nd floor: 3 bedrooms, recreation room, game room with billiards, bathroom, 2 open balconies.• There are many fruit bearing trees in the garden.• There is also a gardener who takes care of the garden.For other details, write or call the indicated numbers.The apartment is shown with a real estate showing contract.The service commission is 50% of the monthly fee.SYC070:Translated from Armenian",Dec-15-2022_21-34,Available,2 spots,,,8+,Yes,Yes,Not included,1 month,https://list.am/en/item/18659887
House,Stone,110 sq.m.,1,3,1,Cosmetic Renovation,2500 sq.m.,Kotayk › Aghveran,"130,000 ֏ monthly",AMD,Сдайотся дом. На длительный и кароткий срок.,Dec-15-2022_21-34,,,,,6,Yes,Yes,Not included,Without prepayment,https://list.am/en/item/18424779
House,Stone,101 sq.m.,3,3,2,Major Renovation,500 sq.m.,"Տիգրան Պետրոսյան փողոց 6, Ձորաղբյուր","250,000 ֏ monthly",AMD,"Own house is equipped with all utilities, smart tv, kitchen utensils, heating, wi-fi, fairy garden, etc.Translated from Armenian",Dec-15-2022_21-34,Available,3 or more spots,,,8+,Yes,Negotiable,Not included,By Agreement,https://list.am/en/item/18712042
House,Stone,160 sq.m.,2,5,3+,Major Renovation,140 sq.m.,"Kh. Abovyan  distr. 2nd street, Առինջ գյուղ","$2,200 monthly",USD,"Վարձով է տրվում նորակառույց բնակելի երկհարկանի առանձնատուն բոլոր կոմունալ հարմարություններով ներառյալ տան գույքը և կենցաղային տեխնիկան։Առկա է բակ իր պտղատու ծառերով։Сдается в аренду новостройный, двухэтажный собственный дом со всеми комунальными и бытовыми удобствами.Есть собственный сад, с плодородными деревьями.",Dec-15-2022_21-34,,2 spots,,,8+,Yes,Yes,Not included,2 months,https://list.am/en/item/18573235
Country House,Monolith,1000 sq.m.,2,5,2,Major Renovation,600 sq.m.,"Դարանի փողոց, Նուռնուս","450,000 ֏ monthly",AMD,"A comfortable private house with all its amenities is for rent. There is a security system with cameras, a hot tub, irrigation water. The house is completely renovated and furnished with the necessary property and equipment, living room and kitchen on the 1st floor, 4 bedrooms on the 2nd floor.The service commission is 50% of the rental price.Translated from Armenian",Dec-15-2022_21-34,Available,2 spots,,,8+,Yes,Yes,Not included,By Agreement,https://list.am/en/item/18656433
House,Stone,300 sq.m.,3,5,3+,Major Renovation,85 sq.m.,"Խաչատուր Կեչառեցու փողոց 12, Ծաղկաձոր","60,000 ֏ daily",AMD,"For rent for family holidays, for up to 10 people. Daily and monthly. You can see all the facilities in the pictures. There is also table tennis. 4 floors, 4 bedrooms, 4 bathrooms, 2 halls. Dishwasher, high quality music center.Translated from Armenian",Dec-15-2022_21-34,Available,3 or more spots,,,8+,Yes,Yes,Included,By Agreement,https://list.am/en/item/18518659
House,Stone,75 sq.m.,1,2,1,Designer Renovation,350 sq.m.,Kotayk › Tsakhkadzor,"25,000 ֏ daily",AMD,"Michi House TsaghkadzorComfortable private house in Tsaghkadzor. The balcony overlooks the city. The house has all the facilities for a good rest. Here you will spend a comfortable rest. The house has 2 bedrooms, 1 bathroom, a fully equipped kitchen and a spacious living room. When calling, mention the code: Michi House TsaghkadzorTranslated from Armenian",Dec-15-2022_21-34,Available,Not available,Television,"Fridge, stove, coffee maker",7,Yes,No,By Agreement,By Agreement,https://list.am/en/item/17239557
Country House,Stone,120 sq.m.,2,3,2,Designer Renovation,450 sq.m.,"Orbeli Brothers street 3, Ծաղկաձոր","60,000 ֏ daily",AMD,"A wonderful cottage in the elite area of Tsaghkadzor ""Mori Plaza""The two-story cottage has a fireplace in the living room, an open and full kitchen with a bar table.On the second floor, guests have 3 bedrooms and 2 bathrooms.There is a barbeque and event zone on the street, as well as a tondur for barbeque.Translated from Armenian",Dec-15-2022_21-34,Available,Not available,,,4,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/16943196
House,Stone,64 sq.m.,1,2,1,Designer Renovation,320 sq.m.,Kotayk › Tsakhkadzor,"450,000 ֏ monthly",AMD,"A one-story cottage with 2 bedrooms, a living room, and a bathroom equipped with all amenities is provided for a monthly fee. For details, call the indicated number.Code TomHousTranslated from Armenian",Dec-15-2022_21-34,Available,Not available,,,4,Yes,Yes,By Agreement,By Agreement,https://list.am/en/item/18410158
House,Stone,200 sq.m.,2,4,2,Major Renovation,200 sq.m.,Kotayk › Garni,"$1,200 monthly",USD,"Two-story private house for rent in Garni.It is equipped with all utilities, has property and equipment, green area, sauna, swimming pool, garage, basement.It consists of 3 bedrooms.The house is fully renovated.For details, call the indicated phone number.Translated from Armenian",Dec-15-2022_21-34,Available,2 spots,,,6,Yes,Yes,Not included,1 month,https://list.am/en/item/18523133
House,Stone,120 sq.m.,2,2,1,Designer Renovation,1100 sq.m.,Kotayk › Tsakhkadzor,"900,000 ֏ monthly",AMD,"A stylish two-story apartment in Hrazdan is provided for a monthly fee, which has two floors, two bedrooms, two bathrooms, a kitchen equipped with high-quality furniture. Designed for 7 people. For details, call quoting the codeCode ModVillaTranslated from Armenian",Dec-15-2022_21-34,Available,Not available,,,6,Yes,Yes,By Agreement,Without prepayment,https://list.am/en/item/18401812
House,Stone,40 sq.m.,2,1,1,Designer Renovation,320 sq.m.,Kotayk › Tsakhkadzor,"30,000 ֏ daily",AMD,"These triangular wooden cabins are the ideal Pledge for your complete relaxation. Designed for 4 people. For details, call the indicated numbers, specifying the code A Frame TsagkadzorTranslated from Armenian",Dec-15-2022_21-34,Available,Not available,,,4,Yes,No,By Agreement,By Agreement,https://list.am/en/item/18536518
House,Stone,350 sq.m.,2,6,3+,Euro Renovation,9000 sq.m.,"Zovuni 16 street, Zovuni","$3,500 monthly",USD,"For rent: 2-storey private house in Zovuni, 350 square meters. Surface. The house is renovated and furnished, has 6 rooms, 5 bathrooms, air conditioning and heating system, spacious, beautiful, well-maintained yard, outdoor swimming pool, 9000 sq. M. Garden.Code SR398Rent: $3500 for 6 months or more.For details, call SMART RVM companyTranslated from Armenian",Dec-15-2022_21-34,Available,2 spots,,,8+,Yes,No,Not included,1 month,https://list.am/en/item/18436113
Country House,Monolith,2000 sq.m.,1,5,2,Designer Renovation,2000 sq.m.,Kotayk › Hankavan,"$3,000 monthly",USD,"Long-term and short-term rentalis offered fully renovated and furnishedprivate house in Hankavan, 4 bedrooms, heatingsystem, necessary appliances: Refrigerator, washing machinecar, TV, gas stove, grill, pavilion,beautiful view, fresh air, parking, internet,dishes, bedding. For details:Call the specified phone number.Translated from Armenian",Dec-15-2022_21-34,Available,3 or more spots,"Television, internet, fireplace, barbecue oven, gazebo, alarm system","Fridge, stove, microwave, coffee maker, washing machine, iron, hair dryer",8+,Yes,Negotiable,Not included,2 months,https://list.am/en/item/18690062
House,Monolith,140 sq.m.,1,4,2,Major Renovation,1500 sq.m.,"Isahakyan street, Ծաղկաձոր","$2,000 monthly",USD,"Short-term and long-term rentala comfortable private house for rent in Marmarik village, Tsaghkadzoronly 5 km away, from where a wonderful view of the forest opens,And the Marmarik river flows to the left from the summer housePermanent hot and cold water supply,gasified, individual heating system, fireplace, 3 bedrooms,2 bathrooms, pavilion, for up to 30 people, beautiful view, fresh air,internet, dishes, bedding, refrigerator, washing machine,TV, parking. For more information callwith the specified phone number.Translated from Armenian",Dec-15-2022_21-34,Available,2 spots,,,6,Yes,Yes,Not included,2 months,https://list.am/en/item/18484230
House,Stone,85 sq.m.,1,3,1,Cosmetic Renovation,800 sq.m.,"1-я улица Паруйра Севака, Егвард","300,000 ֏ monthly",AMD,"Տունը չիվաճարվում, տրվում է միայն վարձով;Привет всем! Сдаётся частный одноэтажный дачный дом в Егварте (20км. От Еревана), 85м2., две спальные комнаты, гостиная, сан. Узел, кухня, все необходимые условия для проживания. Без посредников.",Dec-15-2022_21-34,Available,Not available,"Television, internet, barbecue oven, gazebo","Fridge, stove, coffee maker, dishwasher, washing machine, water Heater, iron, hair dryer",2,Yes,No,Not included,By Agreement,https://list.am/en/item/18420698
Country House,Monolith,100 sq.m.,2,3,3+,Designer Renovation,140 sq.m.,"Պահլավունյաց փողոց, Ծաղկաձոր","40,000 ֏ daily",AMD,"Daily rent cottage in Tsaghkadzor.* 2 bedrooms (each bedroom with its own bathroom)* 3 bathrooms* fenced (with its own yard)* dishes, bedding* mangal, (barbecue bottle)* Internet wi-fi* fireplace* garage* refrigerator, washing machine carUp to 6-8 people can stay overnight in the house.Depending on the number of people, the price may change.Check in (entrance) – 14:00Check out - 12:00Call in advance to reserve.Code MoonTranslated from Armenian",Dec-15-2022_21-34,Available,1 spot,"Television, internet, fireplace","Fridge, microwave, coffee maker, washing machine, drying machine, water Heater, iron, hair dryer",8+,Yes,No,Included,By Agreement,https://list.am/en/item/17675013
Country House,Monolith,1000 sq.m.,2,6,3+,Designer Renovation,3000 sq.m.,Kotayk › Tsakhkadzor,"200,000 ֏ daily",AMD,Super luxurious villa for daily rent in Tsaghkadzor.* 5 bedrooms* 5 bathrooms* swimming pool* Steam bath (sauna)* mangal (barbecue bottle)* fireplaceThe booth is designed for up to 30 people.The house can accommodate 15 people overnight.FROM FRIDAY - SUNDAY THE PRICE IS DIFFERENT.Code NataliTranslated from Armenian,Dec-15-2022_21-34,Available,3 or more spots,,,8+,Yes,Yes,Included,By Agreement,https://list.am/en/item/18440764
Country House,Monolith,100 sq.m.,1,3,3+,Designer Renovation,140 sq.m.,Kotayk › Tsakhkadzor,"35,000 ֏ daily",AMD,"Daily rent cottage in Tsaghkadzor.* 2 bedrooms (each bedroom with its own bathroom)* 3 bathrooms* fenced (with its own yard)* dishes, bedding* mangal, (barbecue bottle)* Internet wi-fi* fireplace* garage* refrigerator, washing machine carUp to 6-8 people can stay overnight in the house.Depending on the number of persons and days, the price may change.Check in (entrance) – 14:00Check out - 12:00Call in advance to reserve.Code TrumffTranslated from Armenian",Dec-15-2022_21-34,Available,1 spot,,,7,Yes,No,Included,By Agreement,https://list.am/en/item/18434973
Country House,Monolith,100 sq.m.,2,3,3+,Designer Renovation,140 sq.m.,Kotayk › Tsakhkadzor,"40,000 ֏ daily",AMD,"Daily rent cottage in Tsaghkadzor.* 2 bedrooms (each bedroom with its own bathroom)* 3 bathrooms* fenced (with its own yard)* dishes, bedding* mangal, (barbecue bottle)* Internet wi-fi* fireplace* garage* refrigerator, washing machine carUp to 6-8 people can stay overnight in the house.Depending on the number of persons and days, the price may change.Check in (entrance) – 14:00Check out - 12:00Call in advance to reserve.Code Moon1Translated from Armenian",Dec-15-2022_21-34,Available,1 spot,,,7,Yes,No,Included,By Agreement,https://list.am/en/item/18467429
Country House,Monolith,500 sq.m.,2,5,2,Major Renovation,800 sq.m.,Kotayk › Tsakhkadzor,"90,000 ֏ daily",AMD,"A luxurious private house is for daily rent in the Viardo recreation area of Tsaghkadzor.* 4 bedrooms, (1 bedroom has a bed for a child)* Cot in 1 bedroom* 3 bathrooms* indoor swimming pool* Sauna* Mangal, barbecue bottle* Fireplace* Ping-pong* Internet WI-FI* dishes, beddingCheck in (entrance) – 14:00Check out - 12:00The house can accommodate up to 12 people overnight.Call in advance to reserve.Code ViardoTranslated from Armenian",Dec-15-2022_21-34,Available,2 spots,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/17737224
Country House,Monolith,1500 sq.m.,2,6,3+,Designer Renovation,500 sq.m.,Kotayk › Tsakhkadzor,"120,000 ֏ daily",AMD,"A luxurious villa is for daily rent in Tsaghkadzor, next to Marriott.* 5 bedrooms, 2 of which with bathroom,* 4 bathrooms,* grill, barbecue,* pavilion (for up to 7 persons),* dishes, bedding,* beautiful green yard,* Internet wi-fi,Check in (entrance) – 14:00Check out - 12:00* The house can accommodate up to 15 people with overnight accommodation, up to 20 without overnight accommodation.* The price is different on Friday, Saturday, Sunday and non-working days.Translated from Armenian",Dec-15-2022_21-34,Available,1 spot,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/18455352
Country House,Monolith,1500 sq.m.,3,5,2,Designer Renovation,500 sq.m.,Kotayk › Tsakhkadzor,"120,000 ֏ monthly",AMD,"A luxurious private house in Tsaghkadzor is for daily rent.The house is renovated in a high-class French style.4 bedrooms,2 bathrooms,Mangal,fireplace,WI-FI,dishes,BBQ accessories,movie theaterbedding,Check in (entrance) – 14:00Check out - 12:00The house can accommodate up to 12 people with overnight stay.The house is located next to the Marriott Hotel.The price is contractually dependent on the number of days and persons.Enjoy your vacation in the beautiful Tsaghkadzor.Call in advance to reserve.Translated from Armenian",Dec-15-2022_21-34,Available,Not available,,,8+,Yes,No,Included,By Agreement,https://list.am/en/item/18455354
House,Stone,205 sq.m.,2,4,1,Major Renovation,1757 sq.m.,Kotayk › Arinj,"550,000 ֏ monthly",AMD,"A two-story private house is for rent in Arinj village (next to Arinj Mall) The house is completely renovated and uninhabited. It has 3 bedrooms, kitchen, living room, separate bathroom and toilet. Comes with furniture and appliances. Has Baxi system, WiFi, TV channels. The first floor can serve as a storage area. There are fruit trees and berries in the garden of the mansion. The house is also for sale.You can call for more detailed information.Translated from Armenian",Dec-15-2022_21-34,Available,Not available,"Television, internet","Fridge, stove, washing machine",6,Yes,No,Not included,2 months,https://list.am/en/item/18455012
House,Stone,65 sq.m.,1,2,1,Major Renovation,180 sq.m.,Kotayk › Zovuni,"150,000 ֏ monthly",AMD,"A private house is for long-term rent in Zovuni. One-story stone house in Zovuni, 1 km from Davtashen. The house will be furnished if desired, provided with communal household facilities: Water, water heater, electricity. It has an entrance hall, kitchen, 2 bedrooms, 1 bathroom. The yard is well-kept, has a plot of land, a parking space. The house is located right next to Yeghvardi highway.Translated from Armenian",Dec-15-2022_21-34,By agreement,Not available,,,8+,Yes,No,Not included,1 month,https://list.am/en/item/18408606
House,Stone,100 sq.m.,2,4,2,Major Renovation,300 sq.m.,"Ամառանոցային 2-րդ տարածք, Երևան","$1,750 monthly",USD,"Waterfall summer houses, only the 2nd floor is for rent, the house is completely renovated, it has 3 bedrooms, a large living room, 2 bathrooms, gas and water, individual heating system, necessary furniture and appliances are availableCode K3288Translated from Armenian",Dec-15-2022_21-34,By agreement,Not available,,,5,Yes,Yes,Not included,By Agreement,https://list.am/en/item/18461391
House,Stone,100 sq.m.,1,3,1,Major Renovation,300 sq.m.,"Ամառանոցային 2-րդ տարածք, Երևան","$1,500 monthly",USD,"Waterfall summer houses, 1st floor of a 3-storey building for sale, the house has 2 bedrooms, living room, gas and water, individual heating system, with all necessary furniture and appliancesCode k3287Translated from Armenian",Dec-15-2022_21-34,By agreement,Not available,,,5,Yes,Yes,Not included,By Agreement,https://list.am/en/item/18461294
House,Stone,200 sq.m.,2,5,2,Euro Renovation,700 sq.m.,Kotayk › Jrvezh,$700 monthly,USD,"For rent sep. House in Jrvezh, with all amenities. The listed price is the cost of one floor. Both floors together $1400.Translated from Armenian",Dec-15-2022_21-34,Available,2 spots,"Television, internet, air conditioner","Fridge, washing machine, water Heater, iron",6,Yes,Negotiable,Not included,2 months,https://list.am/en/item/18602657
House,Stone,750 sq.m.,1,2,1,Partial Renovation,100 sq.m.,Kotayk › Dzoraghbyur,"300,000 ֏ monthly",AMD,Partially renovated non-standard style with natural stone wood combinationTranslated from Armenian,Dec-15-2022_21-34,Partial Furniture,1 spot,"Television, internet, fireplace, barbecue oven","Fridge, stove, water Heater, iron, hair dryer",8+,No,Yes,By Agreement,By Agreement,https://list.am/en/item/18678773
House,Stone,140 sq.m.,1,3,1,Major Renovation,3000 sq.m.,"Charents street 1, Garni","$1,500 monthly",USD,Здаётца дом в гарни. 1 км от хоама гарни 2 км от симфонии камней.,Dec-15-2022_21-34,Available,2 spots,,,4,Yes,Yes,Included,By Agreement,https://list.am/en/item/18440588
Country House,Stone,230 sq.m.,3,5,3+,Major Renovation,1200 sq.m.,"Ամառանոցային փողոց, Նուռնուս","500,000 ֏ monthly",AMD,"Վարձով տրվում է ամառանոց, Նուռնուս ամառանոցային գոտում, գտնվում է Երևանից 16 կմ հեռավորուցյան վրա, ասֆալտապատ ճանապարհի առաջին գիծ:Ամառանոցը ունի մշակված այգի, բաց լողավազան, խորովածանոց մաղալ, թոնիր,Մշտական տաք և սառը ջուր, գազ, ջեռուցման համակարգ, ինտեռնետ, վայ-ֆայ, Ռոստելեկոմ.4 ննջասենյակ, 3 սանհանգույց, Ամառանոցը տրվում է սպասքով և բոլոր հարմարուցյուններով:Сдается в аренду дача в дачном райене Нурнус, которая находится в 16 км от г. Еревана. Находится на первой зоне. Прямо перед домом есть транспортная остановка. Дача обеспечена круглосуточной горячей холодной водой, газом, отоплением, открытый бассейн, беседка, мангал, тандыр, 4 спальни, кухня гостинная. Интернет, Вай-Фай, Ростелеком. Обеспечена всеми удобставами и бытовыми принодлежностями.",Dec-15-2022_21-34,Available,2 spots,,,8+,Yes,No,Not included,2 months,https://list.am/en/item/18431204
House,Stone,400 sq.m.,3,8+,3+,No Renovation,1100 sq.m.,"Ս․ Շահումյան փողոց 28, Գառնի","120,000 ֏ monthly",AMD,I am renting a residential house intended for a hotel or guest house on the main road of Garni in the center of the village.Translated from Armenian,Dec-15-2022_21-34,Not available,3 or more spots,Gazebo,,8+,Yes,Yes,Not included,By Agreement,https://list.am/en/item/18603618
House,Stone,400 sq.m.,3,4,3+,Major Renovation,2000 sq.m.,Kotayk › Charentsavan,"380,000 ֏ monthly",AMD,"The house has a spacious kitchen, 4 bedrooms equipped with comfortable double beds and appropriate furniture. Each floor is equipped with bathrooms, and there is also a jacuzzi on the second floor. There is a sauna with all its facilities.Translated from Armenian",Dec-15-2022_21-34,,,,,8+,Yes,Yes,By Agreement,1 month,https://list.am/en/item/18406846
House,Stone,150 sq.m.,2,6,2,Major Renovation,400 sq.m.,"P. Sevak 10th St., Առինջ գյուղ","650,000 ֏ monthly",AMD,"A two-story residential house fully renovated, equipped with property and equipment is for rent.Living room, kitchen, bedroom, bathroom on the 1st floor.On the 2nd floor, 3 bedrooms, laundry room, bathroom, open balcony.Heating is carried out by a gas boiler.Solar panels are installed.For more information call.)Translated from Armenian",Dec-15-2022_21-34,Available,Not available,,,5,Yes,No,By Agreement,2 months,https://list.am/en/item/18564138
House,Stone,700 sq.m.,4+,8+,3+,Major Renovation,500 sq.m.,"Jrvezh 12-th street 10, Jrvej","$4,500 monthly",USD,"Fully renovated private house for rent (long term) It is located very close to the 5th massiv. Available for both residential and commercial/office purposes. Not furnished. For all details, call the indicated number. Only those who really want to call.Translated from Armenian",Dec-15-2022_21-34,,,,,,,,,,https://list.am/en/item/18428591
House,Stone,250 sq.m.,2,7,3+,Designer Renovation,1200 sq.m.,"Gayi Avenue, Yerevan","$1,900 monthly",USD,"Վարձակալության է տրվում երկու հարկանի առանձնատուն Ձորաղբյուրում:Տան մակերեսը՝ 250քմ, հողատարածքը ՝ 1200 քմ։Առանձնատունը ունի 8 սենյակ։1-ին հարկում՝ նախասրահ, խոհանոց, հյուրասենյակ, սանհանգույց2-րդ հարկում՝ 5 ննջասենյակ, հանգստի սրահ, 1 սանհանգույցՈւնի տաքացվող մեծ լողավազան, պտղատու այգիներ: Առանձնատան տարածքը բաղկացած է երկու հողամասից:Առանձնատունը կապիտալ վերանորոգված է, հագեցած անհրաժեշտ կահույքով և տեխնիկայով:Ունի պարսպապատ տարածք, պտղատու և դեկորատիվ ծառերով մեծ այգի, ավտոկայանատեղի։Վարձավճարի մեջ ներարված է հոսանքի եվ ջրի կոմունալ վճարումները:Сдается двухэтажный частный дом в Дзорахпюре.Площадь дома 250 кв. М, площадь земельного участка 1200 кв. М.В особняке 8 комнат.На 1 этаже: Холл, кухня, гостиная, санузелНа 2 этаже: 5 спален, гостиная, 1 ванная комнатаОн имеет большой бассейн с подогревом, фруктовые сады. Территория особняка состоит из двух участков.Дом полностью отремонтирован, оборудован необходимой мебелью и техникой.Имеет огороженную территорию, большой сад с фруктовыми и декоративными деревьями, автостоянку.Электричество и водоснабжение включены в арендную плату.Առանձնատուն վարձով վարցով Սեփական Տուն",Dec-15-2022_21-34,Available,1 spot,"Television, internet, swimming pool, barbecue oven","Fridge, stove, microwave, washing machine, water Heater, iron, hair dryer",8+,Yes,No,By Agreement,1 month,https://list.am/en/item/18523373
Country House,Stone,120 sq.m.,3,4,1,Cosmetic Renovation,2000 sq.m.,"Улица Амараноцаин 67, Нурнус","200,000 ֏ monthly",AMD,Сдаются только порядочным людям,Dec-15-2022_21-34,Available,1 spot,"Television, internet, swimming pool, fireplace, barbecue oven, billiard, gazebo","Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron",8+,Yes,Yes,Not included,2 months,https://list.am/en/item/18607800
Country House,Monolith,100 sq.m.,2,3,3+,Designer Renovation,500 sq.m.,Kotayk › Tsakhkadzor,"40,000 ֏ daily",AMD,"Daily rent cottage in Tsaghkadzor.* 2 bedrooms (each bedroom with its own bathroom)* 3 bathrooms* fenced (with its own yard)* dishes, bedding* mangal, (barbecue bottle)* Internet wi-fi* fireplace* garage* refrigerator, washing machine carUp to 6-8 people can stay overnight in the house.Depending on the number of people, the price may change.Check in (entrance) – 14:00Check out - 12:00Call in advance to reserve.Translated from Armenian",Dec-15-2022_21-34,Available,1 spot,,,7,Yes,No,Included,By Agreement,https://list.am/en/item/18404485
House,Stone,100 sq.m.,1,3,2,Euro Renovation,500 sq.m.,Kotayk › Arinj,"350,000 ֏ monthly",AMD,"A 3-room detached house is for rent in the newly built Avan-Arinj district, fully renovated, furnished with new property and appliances. Ideal condition:Translated from Armenian",Dec-15-2022_21-34,Available,2 spots,,,4,No,No,Not included,2 months,https://list.am/en/item/18421305
Country House,Stone,150 sq.m.,2,4,2,Major Renovation,500 sq.m.,"Улица Мергеляна, Джрвеж","250,000 ֏ monthly",AMD,"Сдам дачу. Электричество, газ (централизованный), собственный колодец.Есть газовый камин. И-нет и ТВ UCOM. Большой телевизор.15 минут от центра Еревана (20км) Близко от остановки автобусов.",Dec-15-2022_21-34,Available,1 spot,"Television, internet, barbecue oven","Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",4,Yes,Yes,Not included,1 month,https://list.am/en/item/18661040
